symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
REPV2/USD,0.697,0.697,0.685,0.685,2,30.76427651,0.69,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
REPV2/USD,0.697,0.697,0.697,0.697,1,14.70588235,0.697,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
REPV2/USD,0.685,0.685,0.685,0.685,2,32.11678832,0.685,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
REPV2/USD,0.685,0.685,0.685,0.685,1,16.05839416,0.685,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
REPV2/USD,0.676,0.699,0.676,0.699,4,24.3995624,0.689,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
REPV2/USD,0.676,0.676,0.676,0.676,1,9.37224,0.676,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
REPV2/USD,0.694,0.694,0.676,0.676,2,31.63035125,0.684,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
REPV2/USD,0.694,0.694,0.694,0.694,1,15.40616246,0.694,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
REPV2/USD,0.688,0.688,0.676,0.676,3,32.30884686,0.682,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
REPV2/USD,0.688,0.688,0.688,0.688,1,16.32047477,0.688,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
REPV2/USD,0.688,0.698,0.688,0.698,3,15.60283687,0.692,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
REPV2/USD,0.694,0.694,0.671,0.671,3,31.68360326,0.682,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
REPV2/USD,0.694,0.694,0.694,0.694,1,15.36312849,0.694,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
REPV2/USD,0.694,0.698,0.674,0.674,5,44.65664847,0.687,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
REPV2/USD,0.694,0.698,0.688,0.688,3,31.56848787,0.692,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
REPV2/USD,0.676,0.677,0.674,0.674,3,412.80906935,0.674,2025-02-03T01:53:00.000000000Z,1,2025-02-03T01:54:00.000000Z
REPV2/USD,0.675,0.675,0.675,0.675,2,32.52034295,0.675,2025-02-03T01:52:00.000000000Z,1,2025-02-03T01:53:00.000000Z
REPV2/USD,0.694,0.694,0.678,0.678,2,31.79416331,0.685,2025-02-03T01:51:00.000000000Z,1,2025-02-03T01:52:00.000000Z
REPV2/USD,0.688,0.688,0.681,0.681,2,15.98837209,0.684,2025-02-03T01:50:00.000000000Z,1,2025-02-03T01:51:00.000000Z
REPV2/USD,0.692,0.692,0.688,0.688,2,15.89595375,0.689,2025-02-03T01:49:00.000000000Z,1,2025-02-03T01:50:00.000000Z
REPV2/USD,0.696,0.696,0.692,0.692,2,15.8045977,0.692,2025-02-03T01:47:00.000000000Z,1,2025-02-03T01:48:00.000000Z
REPV2/USD,0.696,0.696,0.696,0.696,1,15.8045977,0.696,2025-02-03T01:46:00.000000000Z,1,2025-02-03T01:47:00.000000Z
REPV2/USD,0.704,0.704,0.7,0.7,3,276.08518715,0.7,2025-02-03T01:45:00.000000000Z,1,2025-02-03T01:46:00.000000Z
REPV2/USD,0.676,0.713,0.676,0.704,13,649.9907273,0.7,2025-02-03T01:44:00.000000000Z,1,2025-02-03T01:45:00.000000Z
