symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
REQ/USD,0.11771,0.11771,0.11771,0.11771,1,193.7295456,0.11771,2025-02-01T14:26:00.000000000Z,1,2025-02-01T14:27:00.000000Z
REQ/USD,0.11862,0.11862,0.11862,0.11862,1,189.00892402,0.11862,2025-02-01T15:03:00.000000000Z,1,2025-02-01T15:04:00.000000Z
REQ/USD,0.11983,0.11983,0.11983,0.11983,1,189.00892402,0.11983,2025-02-01T18:00:00.000000000Z,1,2025-02-01T18:01:00.000000Z
REQ/USD,0.11651,0.11651,0.11651,0.11651,69,151760.43175483,0.11651,2025-02-01T19:36:00.000000000Z,1,2025-02-01T19:37:00.000000Z
REQ/USD,0.11651,0.11651,0.11651,0.11651,32,40988.63471044,0.11651,2025-02-01T19:37:00.000000000Z,1,2025-02-01T19:38:00.000000Z
REQ/USD,0.11518,0.11518,0.11506,0.11506,8,34452.49777851,0.11506,2025-02-01T20:25:00.000000000Z,1,2025-02-01T20:26:00.000000Z
REQ/USD,0.11506,0.11506,0.11506,0.11506,3,16444.07133118,0.11506,2025-02-01T20:27:00.000000000Z,1,2025-02-01T20:28:00.000000Z
REQ/USD,0.11506,0.11506,0.11506,0.11506,7,39732.39406941,0.11506,2025-02-01T20:29:00.000000000Z,1,2025-02-01T20:30:00.000000Z
REQ/USD,0.11506,0.11506,0.11506,0.11506,3,19286.43521769,0.11506,2025-02-01T20:30:00.000000000Z,1,2025-02-01T20:31:00.000000Z
REQ/USD,0.11506,0.11506,0.11506,0.11506,3,16271.31749204,0.11506,2025-02-01T20:31:00.000000000Z,1,2025-02-01T20:32:00.000000Z
