symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
REZ/EUR,0.01584,0.01584,0.01543,0.01543,3,39876.39533,0.01545,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
REZ/EUR,0.01584,0.01584,0.01543,0.01543,2,33169.19999,0.01546,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
REZ/EUR,0.01584,0.01584,0.01584,0.01584,1,2815.56448,0.01584,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
REZ/EUR,0.01739,0.01739,0.01739,0.01739,1,5873.93302,0.01739,2025-02-03T00:58:00.000000000Z,1,2025-02-03T00:59:00.000000Z
REZ/EUR,0.01765,0.01765,0.01737,0.01737,2,2289.312,0.01754,2025-02-02T22:41:00.000000000Z,1,2025-02-02T22:42:00.000000Z
REZ/EUR,0.01807,0.01807,0.01807,0.01807,1,1157.38958,0.01807,2025-02-02T19:17:00.000000000Z,1,2025-02-02T19:18:00.000000Z
REZ/EUR,0.0194,0.0194,0.0194,0.0194,1,257.73194,0.0194,2025-02-02T17:54:00.000000000Z,1,2025-02-02T17:55:00.000000Z
REZ/EUR,0.02,0.02,0.02,0.02,1,999.99999,0.02,2025-02-02T16:57:00.000000000Z,1,2025-02-02T16:58:00.000000Z
REZ/EUR,0.02173,0.02173,0.02173,0.02173,1,920.38656,0.02173,2025-02-02T11:07:00.000000000Z,1,2025-02-02T11:08:00.000000Z
REZ/EUR,0.02175,0.02175,0.02175,0.02175,1,5651.15315,0.02175,2025-02-02T10:05:00.000000000Z,1,2025-02-02T10:06:00.000000Z
REZ/EUR,0.02325,0.02325,0.02325,0.02325,1,83.768,0.02325,2025-02-02T09:50:00.000000000Z,1,2025-02-02T09:51:00.000000Z
REZ/EUR,0.02177,0.02178,0.02177,0.02178,2,10185.46477,0.02177,2025-02-02T06:52:00.000000000Z,1,2025-02-02T06:53:00.000000Z
