symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
REZ/USD,0.02472,0.02472,0.02472,0.02472,1,2122.177,0.02472,2025-02-01T08:51:00.000000000Z,1,2025-02-01T08:52:00.000000Z
REZ/USD,0.02466,0.02466,0.0246,0.0246,4,3606.83133,0.02461,2025-02-01T09:19:00.000000000Z,1,2025-02-01T09:20:00.000000Z
REZ/USD,0.02469,0.02469,0.02469,0.02469,2,2285.62319,0.02469,2025-02-01T13:06:00.000000000Z,1,2025-02-01T13:07:00.000000Z
REZ/USD,0.02471,0.02471,0.0246,0.0246,4,46673.94973,0.0246,2025-02-01T13:15:00.000000000Z,1,2025-02-01T13:16:00.000000Z
REZ/USD,0.02417,0.02417,0.02417,0.02417,1,1080.67321,0.02417,2025-02-01T13:51:00.000000000Z,1,2025-02-01T13:52:00.000000Z
REZ/USD,0.02396,0.02396,0.0239,0.02396,9,37666.02212,0.02391,2025-02-01T18:04:00.000000000Z,1,2025-02-01T18:05:00.000000Z
REZ/USD,0.02327,0.02327,0.02327,0.02327,1,115.09962,0.02327,2025-02-01T19:30:00.000000000Z,1,2025-02-01T19:31:00.000000Z
REZ/USD,0.02287,0.02287,0.02287,0.02287,1,1092.04502,0.02287,2025-02-01T20:13:00.000000000Z,1,2025-02-01T20:14:00.000000Z
REZ/USD,0.0229,0.0229,0.0229,0.0229,1,1270.51306,0.0229,2025-02-01T20:18:00.000000000Z,1,2025-02-01T20:19:00.000000Z
REZ/USD,0.02285,0.02285,0.02285,0.02285,1,1192.81563,0.02285,2025-02-01T20:20:00.000000000Z,1,2025-02-01T20:21:00.000000Z
