symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
RPL/EUR,8.17,8.17,8.17,8.17,1,52.04174952,8.17,2025-02-01T04:10:00.000000000Z,1,2025-02-01T04:11:00.000000Z
RPL/EUR,8.17,8.17,8.17,8.17,1,11.93353141,8.17,2025-02-01T04:16:00.000000000Z,1,2025-02-01T04:17:00.000000Z
RPL/EUR,8.09,8.09,8.09,8.09,1,1.0,8.09,2025-02-01T07:36:00.000000000Z,1,2025-02-01T07:37:00.000000Z
RPL/EUR,8.19,8.19,8.19,8.19,1,2.91722,8.19,2025-02-01T08:38:00.000000000Z,1,2025-02-01T08:39:00.000000Z
RPL/EUR,7.97,7.97,7.97,7.97,1,1.23616,7.97,2025-02-01T11:07:00.000000000Z,1,2025-02-01T11:08:00.000000Z
RPL/EUR,8.0,8.0,8.0,8.0,1,0.4199125,8.0,2025-02-01T12:50:00.000000000Z,1,2025-02-01T12:51:00.000000Z
RPL/EUR,7.78,7.78,7.76,7.76,2,189.5734597,7.76,2025-02-01T18:04:00.000000000Z,1,2025-02-01T18:05:00.000000Z
RPL/EUR,7.6,7.6,7.6,7.6,1,25.52977758,7.6,2025-02-01T20:02:00.000000000Z,1,2025-02-01T20:03:00.000000Z
RPL/EUR,7.6,7.6,7.58,7.58,2,6.94037372,7.59,2025-02-01T20:05:00.000000000Z,1,2025-02-01T20:06:00.000000Z
RPL/EUR,7.54,7.54,7.53,7.53,2,50.0,7.53,2025-02-01T20:06:00.000000000Z,1,2025-02-01T20:07:00.000000Z
