symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
RUNE/EUR,1.126,1.128,1.118,1.118,5,1094.90055933,1.122,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
RUNE/EUR,1.126,1.128,1.118,1.118,4,884.97989969,1.123,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
RUNE/EUR,1.126,1.128,1.126,1.126,3,521.43982594,1.126,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
RUNE/EUR,1.126,1.128,1.126,1.128,2,392.63296067,1.126,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
RUNE/EUR,1.126,1.126,1.126,1.126,1,260.52102013,1.126,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
RUNE/EUR,1.155,1.155,1.155,1.155,1,555.09011724,1.155,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
RUNE/EUR,1.143,1.155,1.137,1.155,4,716.63128235,1.148,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
RUNE/EUR,1.143,1.143,1.137,1.137,3,278.07869688,1.137,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
RUNE/EUR,1.143,1.143,1.137,1.137,2,162.47388859,1.137,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
RUNE/EUR,1.143,1.143,1.143,1.143,1,1.0,1.143,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
RUNE/EUR,1.14,1.142,1.14,1.14,4,1692.11381937,1.14,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
RUNE/EUR,1.14,1.142,1.14,1.14,3,755.24337936,1.14,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
RUNE/EUR,1.14,1.142,1.14,1.142,2,381.13029772,1.141,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
RUNE/EUR,1.14,1.14,1.14,1.14,1,8.0,1.14,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
RUNE/EUR,1.146,1.146,1.141,1.146,11,3897.77613508,1.144,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
RUNE/EUR,1.146,1.146,1.141,1.141,10,3588.70415256,1.144,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
RUNE/EUR,1.146,1.146,1.143,1.143,8,2886.32951656,1.144,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
RUNE/EUR,1.146,1.146,1.143,1.143,7,2710.73757385,1.144,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
RUNE/EUR,1.146,1.146,1.143,1.143,6,2359.5536884,1.144,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
RUNE/EUR,1.146,1.146,1.143,1.143,5,2008.36980295,1.145,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
RUNE/EUR,1.146,1.146,1.145,1.145,3,1832.93215895,1.145,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
RUNE/EUR,1.146,1.146,1.146,1.146,1,167.80435897,1.146,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
RUNE/EUR,1.142,1.142,1.13,1.135,4,952.40592248,1.133,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
RUNE/EUR,1.142,1.142,1.13,1.13,3,942.92395248,1.133,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
RUNE/EUR,1.142,1.142,1.13,1.13,2,702.832958,1.134,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
RUNE/EUR,1.142,1.142,1.142,1.142,1,265.23539176,1.142,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
RUNE/EUR,1.079,1.099,1.079,1.097,17,13677.6239857,1.083,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
RUNE/EUR,1.079,1.099,1.079,1.099,16,12234.38968088,1.081,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
RUNE/EUR,1.079,1.099,1.079,1.099,15,11722.99762823,1.08,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
