symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
SAFE/USD,0.5397,0.5397,0.5397,0.5397,1,317.21564,0.5397,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SAFE/USD,0.5362,0.5373,0.5362,0.5373,2,978.63265,0.5365,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SAFE/USD,0.5362,0.5362,0.5362,0.5362,1,659.99999,0.5362,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SAFE/USD,0.5577,0.5577,0.55,0.55,2,310.04343,0.5576,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
SAFE/USD,0.5577,0.5577,0.5577,0.5577,1,307.54343,0.5577,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
SAFE/USD,0.5709,0.5709,0.5709,0.5709,1,11.08923,0.5709,2025-02-03T01:52:00.000000000Z,1,2025-02-03T01:53:00.000000Z
SAFE/USD,0.58,0.5814,0.5792,0.5814,4,314.42517,0.5813,2025-02-03T01:44:00.000000000Z,1,2025-02-03T01:45:00.000000Z
SAFE/USD,0.5892,0.5892,0.5888,0.5888,3,630.7,0.5888,2025-02-03T01:31:00.000000000Z,1,2025-02-03T01:32:00.000000Z
SAFE/USD,0.5861,0.5861,0.5861,0.5861,1,3.6,0.5861,2025-02-03T01:29:00.000000000Z,1,2025-02-03T01:30:00.000000Z
SAFE/USD,0.5885,0.5885,0.5885,0.5885,1,329.99999,0.5885,2025-02-03T01:28:00.000000000Z,1,2025-02-03T01:29:00.000000Z
SAFE/USD,0.5873,0.5873,0.5873,0.5873,1,10.8,0.5873,2025-02-03T01:26:00.000000000Z,1,2025-02-03T01:27:00.000000Z
SAFE/USD,0.5914,0.5914,0.5914,0.5914,1,641.43824,0.5914,2025-02-03T01:21:00.000000000Z,1,2025-02-03T01:22:00.000000Z
SAFE/USD,0.5998,0.5998,0.5998,0.5998,1,3.6,0.5998,2025-02-03T00:56:00.000000000Z,1,2025-02-03T00:57:00.000000Z
SAFE/USD,0.5921,0.5953,0.5921,0.5953,2,7.2,0.5937,2025-02-03T00:49:00.000000000Z,1,2025-02-03T00:50:00.000000Z
