symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
SAGA/EUR,1.064,1.067,1.064,1.067,2,541.26179,1.064,2025-02-01T10:31:00.000000000Z,1,2025-02-01T10:32:00.000000Z
SAGA/EUR,1.065,1.065,1.065,1.065,1,108.77133,1.065,2025-02-01T11:15:00.000000000Z,1,2025-02-01T11:16:00.000000Z
SAGA/EUR,1.067,1.067,1.065,1.065,4,1224.31587,1.065,2025-02-01T11:16:00.000000000Z,1,2025-02-01T11:17:00.000000Z
SAGA/EUR,1.071,1.071,1.071,1.071,3,640.52755,1.071,2025-02-01T11:27:00.000000000Z,1,2025-02-01T11:28:00.000000Z
SAGA/EUR,1.064,1.064,1.064,1.064,1,107.12537,1.064,2025-02-01T11:45:00.000000000Z,1,2025-02-01T11:46:00.000000Z
SAGA/EUR,1.075,1.075,1.075,1.075,2,372.67281,1.075,2025-02-01T14:07:00.000000000Z,1,2025-02-01T14:08:00.000000Z
SAGA/EUR,1.055,1.055,1.055,1.055,1,191.01754,1.055,2025-02-01T17:42:00.000000000Z,1,2025-02-01T17:43:00.000000Z
SAGA/EUR,1.028,1.028,1.028,1.028,1,19.45525,1.028,2025-02-01T19:32:00.000000000Z,1,2025-02-01T19:33:00.000000Z
SAGA/EUR,1.018,1.018,1.018,1.018,1,465.5124,1.018,2025-02-01T20:02:00.000000000Z,1,2025-02-01T20:03:00.000000Z
SAGA/EUR,1.009,1.009,1.009,1.009,1,113.08671,1.009,2025-02-01T20:13:00.000000000Z,1,2025-02-01T20:14:00.000000Z
