symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
SAGA/USD,0.7,0.701,0.696,0.701,5,313.45053,0.699,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SAGA/USD,0.7,0.701,0.696,0.701,4,299.42957,0.699,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SAGA/USD,0.7,0.701,0.696,0.696,3,228.10289,0.698,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SAGA/USD,0.7,0.701,0.7,0.701,2,142.75525,0.7,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SAGA/USD,0.7,0.7,0.7,0.7,1,71.42857,0.7,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SAGA/USD,0.699,0.699,0.695,0.695,7,333.41631,0.696,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
SAGA/USD,0.699,0.699,0.695,0.695,6,319.81843,0.696,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
SAGA/USD,0.699,0.699,0.695,0.695,5,290.75387,0.697,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
SAGA/USD,0.699,0.699,0.697,0.697,4,261.47386,0.697,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
SAGA/USD,0.699,0.699,0.698,0.698,3,70.34235,0.698,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
SAGA/USD,0.699,0.699,0.699,0.699,1,20.64749,0.699,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
SAGA/USD,0.705,0.705,0.705,0.705,1,390.7819,0.705,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
SAGA/USD,0.688,0.696,0.685,0.696,5,128.12919,0.689,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SAGA/USD,0.688,0.696,0.685,0.696,4,109.62628,0.688,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SAGA/USD,0.688,0.688,0.685,0.685,3,91.12337,0.687,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SAGA/USD,0.688,0.688,0.687,0.687,2,77.18337,0.687,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SAGA/USD,0.688,0.688,0.688,0.688,1,29.04556,0.688,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SAGA/USD,0.651,0.683,0.651,0.683,11,725.80093,0.667,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SAGA/USD,0.651,0.683,0.651,0.683,10,485.63269,0.659,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SAGA/USD,0.651,0.679,0.651,0.679,9,471.80093,0.658,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SAGA/USD,0.651,0.679,0.651,0.679,8,435.95101,0.657,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SAGA/USD,0.651,0.679,0.651,0.679,7,417.05712,0.656,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SAGA/USD,0.651,0.675,0.651,0.675,6,398.16323,0.655,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SAGA/USD,0.651,0.657,0.651,0.657,5,373.34287,0.653,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SAGA/USD,0.651,0.657,0.651,0.657,4,348.89733,0.653,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SAGA/USD,0.651,0.653,0.651,0.653,3,274.03132,0.652,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SAGA/USD,0.651,0.651,0.651,0.651,1,29.35976,0.651,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SAGA/USD,0.667,0.667,0.647,0.661,15,7998.80247,0.66,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
SAGA/USD,0.667,0.667,0.647,0.661,14,7894.88822,0.66,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
SAGA/USD,0.667,0.667,0.647,0.661,13,7790.97397,0.66,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
SAGA/USD,0.667,0.667,0.647,0.647,12,507.97397,0.658,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
SAGA/USD,0.667,0.667,0.657,0.659,9,354.27035,0.663,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
SAGA/USD,0.667,0.667,0.657,0.657,8,334.74507,0.663,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
SAGA/USD,0.667,0.667,0.662,0.662,7,315.74507,0.663,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
SAGA/USD,0.667,0.667,0.662,0.662,6,312.55725,0.663,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
SAGA/USD,0.667,0.667,0.663,0.663,5,309.36942,0.663,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
SAGA/USD,0.667,0.667,0.664,0.664,4,116.10909,0.664,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
SAGA/USD,0.667,0.667,0.666,0.666,2,39.47484,0.666,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
SAGA/USD,0.667,0.667,0.667,0.667,1,2.0,0.667,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
SAGA/USD,0.712,0.712,0.698,0.698,9,1620.22838,0.704,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
SAGA/USD,0.712,0.712,0.698,0.698,8,1599.34116,0.704,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
SAGA/USD,0.712,0.712,0.7,0.7,7,1527.70793,0.704,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
SAGA/USD,0.712,0.712,0.704,0.704,6,1513.42222,0.704,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
SAGA/USD,0.712,0.712,0.704,0.704,5,1182.38616,0.704,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
SAGA/USD,0.712,0.712,0.705,0.705,4,321.31459,0.706,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
SAGA/USD,0.712,0.712,0.712,0.712,1,47.72843,0.712,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
SAGA/USD,0.731,0.731,0.713,0.713,8,1201.39684,0.723,2025-02-03T01:53:00.000000000Z,1,2025-02-03T01:54:00.000000Z
SAGA/USD,0.743,0.743,0.735,0.735,2,223.98764,0.736,2025-02-03T01:52:00.000000000Z,1,2025-02-03T01:53:00.000000Z
SAGA/USD,0.742,0.742,0.741,0.741,2,120.81815,0.741,2025-02-03T01:51:00.000000000Z,1,2025-02-03T01:52:00.000000Z
SAGA/USD,0.745,0.745,0.744,0.744,2,77.52351,0.744,2025-02-03T01:50:00.000000000Z,1,2025-02-03T01:51:00.000000Z
SAGA/USD,0.733,0.739,0.726,0.739,5,114.46863,0.732,2025-02-03T01:49:00.000000000Z,1,2025-02-03T01:50:00.000000Z
SAGA/USD,0.742,0.742,0.742,0.742,1,67.38544,0.742,2025-02-03T01:48:00.000000000Z,1,2025-02-03T01:49:00.000000Z
SAGA/USD,0.753,0.753,0.745,0.745,4,520.35637,0.745,2025-02-03T01:47:00.000000000Z,1,2025-02-03T01:48:00.000000Z
SAGA/USD,0.761,0.763,0.761,0.762,6,409.08572,0.762,2025-02-03T01:46:00.000000000Z,1,2025-02-03T01:47:00.000000Z
SAGA/USD,0.777,0.777,0.777,0.777,1,23.6566,0.777,2025-02-03T01:40:00.000000000Z,1,2025-02-03T01:41:00.000000Z
