symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
SAMO/EUR,0.005013,0.005013,0.005013,0.005013,1,1436.26570915,0.005013,2025-02-01T19:54:00.000000000Z,1,2025-02-01T19:55:00.000000Z
SAMO/EUR,0.005219,0.005219,0.005219,0.005219,1,943.87974,0.005219,2025-02-01T19:55:00.000000000Z,1,2025-02-01T19:56:00.000000Z
SAMO/EUR,0.005001,0.005001,0.005001,0.005001,1,1797.05283335,0.005001,2025-02-01T20:08:00.000000000Z,1,2025-02-01T20:09:00.000000Z
SAMO/EUR,0.005001,0.005001,0.005,0.005,8,99781.81,0.005,2025-02-01T20:09:00.000000000Z,1,2025-02-01T20:10:00.000000Z
SAMO/EUR,0.005,0.005,0.005,0.005,4,10502.02132422,0.005,2025-02-01T20:11:00.000000000Z,1,2025-02-01T20:12:00.000000Z
SAMO/EUR,0.005,0.005,0.005,0.005,2,7230.0,0.005,2025-02-01T20:13:00.000000000Z,1,2025-02-01T20:14:00.000000Z
SAMO/EUR,0.005,0.005,0.005,0.005,1,685.11664227,0.005,2025-02-01T20:14:00.000000000Z,1,2025-02-01T20:15:00.000000Z
SAMO/EUR,0.004955,0.004955,0.004955,0.004955,1,6268.76851007,0.004955,2025-02-01T20:20:00.000000000Z,1,2025-02-01T20:21:00.000000Z
SAMO/EUR,0.005,0.005,0.005,0.005,2,4247.1042471,0.005,2025-02-01T20:33:00.000000000Z,1,2025-02-01T20:34:00.000000Z
SAMO/EUR,0.005,0.005,0.005,0.005,1,95752.8957529,0.005,2025-02-01T20:35:00.000000000Z,1,2025-02-01T20:36:00.000000Z
