symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
SAMO/USD,0.005208,0.005208,0.0052,0.0052,10,48131.18358469,0.005203,2025-02-01T19:52:00.000000000Z,1,2025-02-01T19:53:00.000000Z
SAMO/USD,0.005182,0.005182,0.005181,0.005181,3,9570.26570915,0.005181,2025-02-01T19:54:00.000000000Z,1,2025-02-01T19:55:00.000000Z
SAMO/USD,0.00522,0.00522,0.00522,0.00522,1,976.18773946,0.00522,2025-02-01T19:55:00.000000000Z,1,2025-02-01T19:56:00.000000Z
SAMO/USD,0.005156,0.005156,0.005156,0.005156,1,1797.05283335,0.005156,2025-02-01T20:08:00.000000000Z,1,2025-02-01T20:09:00.000000Z
SAMO/USD,0.005156,0.005156,0.005156,0.005156,7,99781.81,0.005156,2025-02-01T20:09:00.000000000Z,1,2025-02-01T20:10:00.000000Z
SAMO/USD,0.005156,0.005156,0.005156,0.005156,4,10502.02132422,0.005156,2025-02-01T20:11:00.000000000Z,1,2025-02-01T20:12:00.000000Z
SAMO/USD,0.005156,0.005156,0.005156,0.005156,2,7230.0,0.005156,2025-02-01T20:13:00.000000000Z,1,2025-02-01T20:14:00.000000Z
SAMO/USD,0.005156,0.005156,0.005129,0.005129,7,17077.11664227,0.005142,2025-02-01T20:14:00.000000000Z,1,2025-02-01T20:15:00.000000Z
SAMO/USD,0.005161,0.005161,0.005161,0.005161,2,4247.1042471,0.005161,2025-02-01T20:33:00.000000000Z,1,2025-02-01T20:34:00.000000Z
SAMO/USD,0.005162,0.005162,0.005162,0.005162,1,95752.8957529,0.005162,2025-02-01T20:35:00.000000000Z,1,2025-02-01T20:36:00.000000Z
