symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
SBR/EUR,0.00151,0.00151,0.0015,0.0015,4,74432.84768212,0.0015,2025-02-03T01:49:00.000000000Z,1,2025-02-03T01:50:00.000000Z
SBR/EUR,0.00151,0.00151,0.00151,0.00151,1,7157.19115999,0.00151,2025-02-03T01:47:00.000000000Z,1,2025-02-03T01:48:00.000000Z
SBR/EUR,0.00155,0.00155,0.00152,0.00152,11,635750.6539462,0.00153,2025-02-03T01:28:00.000000000Z,1,2025-02-03T01:29:00.000000Z
SBR/EUR,0.00158,0.00158,0.00158,0.00158,1,26812.94927707,0.00158,2025-02-03T01:13:00.000000000Z,1,2025-02-03T01:14:00.000000Z
SBR/EUR,0.00158,0.00158,0.00158,0.00158,1,11680.78542484,0.00158,2025-02-02T23:09:00.000000000Z,1,2025-02-02T23:10:00.000000Z
SBR/EUR,0.0016,0.0016,0.0016,0.0016,1,3782.87767405,0.0016,2025-02-02T23:08:00.000000000Z,1,2025-02-02T23:09:00.000000Z
SBR/EUR,0.0016,0.0016,0.0016,0.0016,2,90228.32752107,0.0016,2025-02-02T23:07:00.000000000Z,1,2025-02-02T23:08:00.000000Z
SBR/EUR,0.0016,0.0016,0.0016,0.0016,3,84277.86466719,0.0016,2025-02-02T23:06:00.000000000Z,1,2025-02-02T23:07:00.000000Z
SBR/EUR,0.00161,0.00161,0.00161,0.00161,2,50000.0,0.00161,2025-02-02T22:50:00.000000000Z,1,2025-02-02T22:51:00.000000Z
SBR/EUR,0.00162,0.00162,0.00161,0.00161,4,100000.0,0.00161,2025-02-02T22:41:00.000000000Z,1,2025-02-02T22:42:00.000000Z
