symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
SEI/EUR,0.20541,0.20541,0.20465,0.20465,2,18861.05712,0.20535,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SEI/EUR,0.20541,0.20541,0.20541,0.20541,1,17380.83035,0.20541,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SEI/EUR,0.20547,0.20554,0.20541,0.2055,5,8078.3972,0.20547,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SEI/EUR,0.20547,0.20554,0.20541,0.20554,4,6422.22334,0.20547,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SEI/EUR,0.20547,0.20547,0.20541,0.20541,3,4766.37179,0.20545,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SEI/EUR,0.20547,0.20547,0.20547,0.20547,1,1371.37179,0.20547,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SEI/EUR,0.20803,0.20906,0.20803,0.20906,3,43529.58559,0.20832,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SEI/EUR,0.20803,0.20804,0.20803,0.20804,2,31267.06104,0.20803,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SEI/EUR,0.20803,0.20803,0.20803,0.20803,1,12544.74734,0.20803,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SEI/EUR,0.20684,0.20684,0.20684,0.20684,1,930.2587,0.20684,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
SEI/EUR,0.20653,0.20653,0.20433,0.2063,7,16460.2021,0.2049,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SEI/EUR,0.20653,0.20653,0.20433,0.2056,6,15159.26852,0.20478,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SEI/EUR,0.20653,0.20653,0.20433,0.20433,4,13407.70362,0.20467,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SEI/EUR,0.20653,0.20653,0.20446,0.20446,3,12466.60929,0.2047,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SEI/EUR,0.20653,0.20653,0.20446,0.20446,2,12452.60929,0.2047,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SEI/EUR,0.20653,0.20653,0.20653,0.20653,1,1466.60929,0.20653,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SEI/EUR,0.19678,0.20826,0.19678,0.20826,5,25925.90051,0.20217,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SEI/EUR,0.19678,0.20218,0.19678,0.20217,4,25878.82016,0.20216,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SEI/EUR,0.19678,0.20218,0.19678,0.20217,3,13410.33614,0.20216,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SEI/EUR,0.19678,0.20218,0.19678,0.20218,2,12959.70482,0.20216,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SEI/EUR,0.19678,0.19678,0.19678,0.19678,1,40.58948,0.19678,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SEI/EUR,0.20796,0.20796,0.2,0.20001,38,58305.35582,0.20116,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
SEI/EUR,0.20796,0.20796,0.2,0.20032,37,58069.91582,0.20117,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
SEI/EUR,0.20796,0.20796,0.2,0.20032,36,58064.99582,0.20117,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
SEI/EUR,0.20796,0.20796,0.2,0.2,35,53146.75582,0.20125,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
SEI/EUR,0.20796,0.20796,0.20004,0.20004,31,50517.05582,0.20131,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
SEI/EUR,0.20796,0.20796,0.20004,0.20004,30,46391.93925,0.20143,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
SEI/EUR,0.20796,0.20796,0.20004,0.20004,29,20367.01624,0.2032,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
SEI/EUR,0.20796,0.20796,0.20015,0.20015,28,20225.70284,0.20323,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
SEI/EUR,0.20796,0.20796,0.201,0.201,27,18712.4916,0.20347,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
SEI/EUR,0.20796,0.20796,0.20195,0.20195,25,15253.2835,0.20403,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
SEI/EUR,0.20796,0.20796,0.20251,0.20251,24,15244.79469,0.20403,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
SEI/EUR,0.20796,0.20796,0.20252,0.20253,23,15195.41442,0.20404,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
SEI/EUR,0.20796,0.20796,0.20252,0.20253,22,15175.67845,0.20404,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
SEI/EUR,0.20796,0.20796,0.20252,0.20253,21,15167.92074,0.20404,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
SEI/EUR,0.20796,0.20796,0.20252,0.20252,20,15129.80053,0.20404,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
SEI/EUR,0.20796,0.20796,0.20356,0.20356,18,14134.62713,0.20414,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
SEI/EUR,0.20796,0.20796,0.20356,0.20356,17,14027.19713,0.20415,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
SEI/EUR,0.20796,0.20796,0.20356,0.20356,16,13928.00713,0.20415,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
SEI/EUR,0.20796,0.20796,0.20356,0.20356,15,13677.32723,0.20416,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
