symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
SGB/EUR,0.00509,0.00509,0.00509,0.00509,1,2239.63067907,0.00509,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SGB/EUR,0.00508,0.00512,0.00505,0.00505,5,9314.18565659,0.00507,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SGB/EUR,0.00508,0.00512,0.00508,0.00512,4,5864.14711979,0.00509,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SGB/EUR,0.00508,0.00508,0.00508,0.00508,1,2923.20314813,0.00508,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SGB/EUR,0.00506,0.00524,0.00504,0.00512,18,63353.58593131,0.00509,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SGB/EUR,0.00506,0.00524,0.00504,0.00507,17,62856.28183693,0.00508,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SGB/EUR,0.00506,0.00524,0.00504,0.00518,16,60983.63183693,0.00509,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SGB/EUR,0.00506,0.00524,0.00504,0.00507,15,57877.62797593,0.00508,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SGB/EUR,0.00506,0.00524,0.00504,0.00523,14,55248.11399921,0.00508,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SGB/EUR,0.00506,0.00524,0.00504,0.00514,13,53963.00460986,0.00508,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SGB/EUR,0.00506,0.00524,0.00504,0.00514,12,51798.77933887,0.00508,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SGB/EUR,0.00506,0.00524,0.00504,0.00524,11,49634.55406788,0.00507,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SGB/EUR,0.00506,0.00508,0.00504,0.00508,5,42695.35173079,0.00506,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SGB/EUR,0.00506,0.00507,0.00504,0.00507,4,38494.4838807,0.00506,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SGB/EUR,0.00506,0.00507,0.00504,0.00507,3,34293.61603061,0.00506,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SGB/EUR,0.00506,0.00506,0.00504,0.00504,2,14313.61603061,0.00505,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SGB/EUR,0.00506,0.00506,0.00506,0.00506,1,10000.0,0.00506,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SGB/EUR,0.00509,0.00509,0.00504,0.00504,2,6279.333705,0.00505,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
SGB/EUR,0.00509,0.00509,0.00509,0.00509,1,1582.6189732,0.00509,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
SGB/EUR,0.00513,0.00513,0.0051,0.0051,5,18934.96057391,0.00511,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
SGB/EUR,0.00513,0.00513,0.00512,0.00512,4,14096.66069347,0.00512,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
SGB/EUR,0.00513,0.00513,0.00512,0.00512,3,14082.5533315,0.00512,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
SGB/EUR,0.00513,0.00513,0.00512,0.00512,2,9389.50111343,0.00512,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
SGB/EUR,0.00513,0.00513,0.00513,0.00513,1,4848.51640189,0.00513,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
SGB/EUR,0.00517,0.00517,0.00514,0.00514,2,4961.51,0.00516,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SGB/EUR,0.00519,0.00519,0.0051,0.00517,8,12611.04489164,0.00516,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
SGB/EUR,0.00519,0.00519,0.0051,0.00517,7,12225.17629164,0.00516,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
SGB/EUR,0.00519,0.00519,0.0051,0.0051,6,10748.7724946,0.00516,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
SGB/EUR,0.00519,0.00519,0.00516,0.00516,5,9296.12334973,0.00517,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
SGB/EUR,0.00519,0.00519,0.00516,0.00519,4,7626.23551505,0.00518,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
SGB/EUR,0.00519,0.00519,0.00516,0.00516,3,6183.96517746,0.00518,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
SGB/EUR,0.00519,0.00519,0.00516,0.00516,2,4984.0,0.00518,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
SGB/EUR,0.0052,0.00521,0.00512,0.00512,13,37499.19480225,0.00519,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
SGB/EUR,0.0052,0.00521,0.00515,0.00515,12,35744.92988371,0.00519,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
SGB/EUR,0.0052,0.00521,0.00518,0.00518,10,32302.32103238,0.0052,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
SGB/EUR,0.0052,0.00521,0.0052,0.0052,8,27520.13710724,0.0052,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
SGB/EUR,0.0052,0.0052,0.0052,0.0052,6,22536.13710724,0.0052,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
SGB/EUR,0.0052,0.0052,0.0052,0.0052,5,17642.94804761,0.0052,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
SGB/EUR,0.0052,0.0052,0.0052,0.0052,3,12658.94804761,0.0052,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
SGB/EUR,0.0052,0.0052,0.0052,0.0052,2,8299.94804762,0.0052,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
SGB/EUR,0.0052,0.0052,0.0052,0.0052,1,4999.99999999,0.0052,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
SGB/EUR,0.0053,0.0053,0.0052,0.0052,3,6669.70894537,0.00524,2025-02-03T01:53:00.000000000Z,1,2025-02-03T01:54:00.000000Z
SGB/EUR,0.00536,0.00536,0.00536,0.00536,1,302.61194029,0.00536,2025-02-03T01:52:00.000000000Z,1,2025-02-03T01:53:00.000000Z
