symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
SHIB/EUR,1.264e-05,1.267e-05,1.251e-05,1.253e-05,17,955958664.18609,1.258e-05,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SHIB/EUR,1.264e-05,1.267e-05,1.251e-05,1.254e-05,16,687270438.55506,1.261e-05,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SHIB/EUR,1.264e-05,1.267e-05,1.253e-05,1.257e-05,13,600489697.72379,1.262e-05,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SHIB/EUR,1.264e-05,1.267e-05,1.255e-05,1.255e-05,10,497105960.75069,1.263e-05,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SHIB/EUR,1.264e-05,1.267e-05,1.255e-05,1.255e-05,9,491404040.0632,1.263e-05,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SHIB/EUR,1.264e-05,1.267e-05,1.26e-05,1.26e-05,8,472956768.0326,1.263e-05,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SHIB/EUR,1.264e-05,1.267e-05,1.262e-05,1.262e-05,7,472180469.14623,1.263e-05,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SHIB/EUR,1.264e-05,1.267e-05,1.262e-05,1.262e-05,6,467307030.45508,1.263e-05,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SHIB/EUR,1.264e-05,1.267e-05,1.262e-05,1.262e-05,5,466995907.1128,1.263e-05,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SHIB/EUR,1.264e-05,1.267e-05,1.264e-05,1.267e-05,4,204306398.21282,1.266e-05,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SHIB/EUR,1.264e-05,1.264e-05,1.264e-05,1.264e-05,1,3377824.16048,1.264e-05,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SHIB/EUR,1.27e-05,1.273e-05,1.267e-05,1.267e-05,16,1515417220.85444,1.27e-05,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SHIB/EUR,1.27e-05,1.273e-05,1.268e-05,1.271e-05,15,1335528452.11569,1.27e-05,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SHIB/EUR,1.27e-05,1.273e-05,1.269e-05,1.272e-05,11,979877289.12124,1.271e-05,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SHIB/EUR,1.27e-05,1.273e-05,1.269e-05,1.273e-05,10,976030310.7379,1.271e-05,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SHIB/EUR,1.27e-05,1.273e-05,1.269e-05,1.271e-05,8,754713545.05342,1.27e-05,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SHIB/EUR,1.27e-05,1.273e-05,1.269e-05,1.27e-05,7,561971334.23952,1.27e-05,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SHIB/EUR,1.27e-05,1.273e-05,1.269e-05,1.271e-05,4,271633758.27911,1.27e-05,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SHIB/EUR,1.27e-05,1.273e-05,1.27e-05,1.273e-05,2,12919156.95196,1.272e-05,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SHIB/EUR,1.27e-05,1.27e-05,1.27e-05,1.27e-05,1,3940426.71007,1.27e-05,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SHIB/EUR,1.277e-05,1.292e-05,1.273e-05,1.289e-05,16,1109107563.14424,1.279e-05,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SHIB/EUR,1.277e-05,1.292e-05,1.273e-05,1.292e-05,14,1098677001.60826,1.278e-05,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SHIB/EUR,1.277e-05,1.282e-05,1.273e-05,1.279e-05,12,909128532.37612,1.276e-05,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SHIB/EUR,1.277e-05,1.282e-05,1.273e-05,1.282e-05,11,907906088.21703,1.276e-05,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SHIB/EUR,1.277e-05,1.279e-05,1.273e-05,1.273e-05,8,865406088.21703,1.275e-05,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SHIB/EUR,1.277e-05,1.279e-05,1.274e-05,1.276e-05,7,857724328.22854,1.276e-05,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SHIB/EUR,1.277e-05,1.279e-05,1.274e-05,1.278e-05,6,846762168.28385,1.276e-05,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SHIB/EUR,1.277e-05,1.277e-05,1.274e-05,1.274e-05,4,835770962.34131,1.275e-05,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SHIB/EUR,1.277e-05,1.277e-05,1.274e-05,1.274e-05,3,743300672.96007,1.276e-05,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SHIB/EUR,1.277e-05,1.277e-05,1.276e-05,1.276e-05,2,677810535.6257,1.276e-05,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SHIB/EUR,1.277e-05,1.277e-05,1.277e-05,1.277e-05,1,292527332.42391,1.277e-05,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SHIB/EUR,1.283e-05,1.283e-05,1.282e-05,1.282e-05,5,74910962.21597,1.282e-05,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
SHIB/EUR,1.283e-05,1.283e-05,1.282e-05,1.282e-05,4,67289024.7323,1.282e-05,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
SHIB/EUR,1.289e-05,1.295e-05,1.289e-05,1.295e-05,10,1227105278.39492,1.292e-05,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
SHIB/EUR,1.289e-05,1.294e-05,1.289e-05,1.293e-05,9,1226245515.06597,1.292e-05,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
SHIB/EUR,1.289e-05,1.291e-05,1.289e-05,1.29e-05,5,626245515.06597,1.29e-05,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
SHIB/EUR,1.289e-05,1.291e-05,1.289e-05,1.29e-05,4,622479966.88186,1.29e-05,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
SHIB/EUR,1.289e-05,1.291e-05,1.289e-05,1.291e-05,3,618718184.24593,1.29e-05,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
SHIB/EUR,1.289e-05,1.29e-05,1.289e-05,1.29e-05,2,406291272.91765,1.289e-05,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
SHIB/EUR,1.282e-05,1.285e-05,1.269e-05,1.273e-05,13,180927959.71669,1.275e-05,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SHIB/EUR,1.282e-05,1.285e-05,1.269e-05,1.269e-05,12,113803345.23932,1.277e-05,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SHIB/EUR,1.282e-05,1.285e-05,1.269e-05,1.269e-05,11,105919493.29965,1.277e-05,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SHIB/EUR,1.282e-05,1.285e-05,1.27e-05,1.27e-05,10,92618331.12002,1.278e-05,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SHIB/EUR,1.282e-05,1.285e-05,1.274e-05,1.274e-05,9,79347670.30783,1.28e-05,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SHIB/EUR,1.282e-05,1.285e-05,1.279e-05,1.279e-05,8,71670281.89248,1.281e-05,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SHIB/EUR,1.282e-05,1.285e-05,1.279e-05,1.279e-05,7,45242057.07221,1.282e-05,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SHIB/EUR,1.282e-05,1.285e-05,1.282e-05,1.284e-05,6,37358205.13254,1.282e-05,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SHIB/EUR,1.282e-05,1.285e-05,1.282e-05,1.283e-05,5,28337032.23407,1.282e-05,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SHIB/EUR,1.282e-05,1.283e-05,1.282e-05,1.283e-05,3,24110086.22179,1.282e-05,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SHIB/EUR,1.282e-05,1.283e-05,1.282e-05,1.283e-05,2,18357179.20312,1.282e-05,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SHIB/EUR,1.282e-05,1.282e-05,1.282e-05,1.282e-05,1,16226234.28211,1.282e-05,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SHIB/EUR,1.217e-05,1.281e-05,1.215e-05,1.281e-05,17,278715285.03785,1.232e-05,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SHIB/EUR,1.217e-05,1.278e-05,1.215e-05,1.278e-05,16,271081228.57276,1.231e-05,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SHIB/EUR,1.217e-05,1.251e-05,1.215e-05,1.251e-05,15,263197376.63309,1.23e-05,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SHIB/EUR,1.217e-05,1.25e-05,1.215e-05,1.25e-05,14,257377172.09658,1.229e-05,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SHIB/EUR,1.217e-05,1.239e-05,1.215e-05,1.239e-05,12,233703473.121,1.227e-05,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SHIB/EUR,1.217e-05,1.232e-05,1.215e-05,1.232e-05,11,225809531.07077,1.227e-05,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SHIB/EUR,1.217e-05,1.232e-05,1.215e-05,1.232e-05,10,218579090.92668,1.227e-05,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SHIB/EUR,1.217e-05,1.217e-05,1.215e-05,1.217e-05,8,68579090.92668,1.216e-05,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SHIB/EUR,1.217e-05,1.217e-05,1.215e-05,1.215e-05,7,63865124.19873,1.216e-05,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
