symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
SHIB/USDT,1.299e-05,1.299e-05,1.299e-05,1.299e-05,1,1801912.0,1.299e-05,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SHIB/USDT,1.309e-05,1.322e-05,1.305e-05,1.322e-05,11,173247566.38868,1.309e-05,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SHIB/USDT,1.309e-05,1.321e-05,1.305e-05,1.321e-05,10,169465091.73846,1.309e-05,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SHIB/USDT,1.309e-05,1.31e-05,1.305e-05,1.307e-05,9,149667054.10658,1.307e-05,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SHIB/USDT,1.309e-05,1.31e-05,1.305e-05,1.305e-05,7,145032951.56223,1.307e-05,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SHIB/USDT,1.309e-05,1.31e-05,1.309e-05,1.309e-05,3,97127153.42117,1.309e-05,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SHIB/USDT,1.309e-05,1.309e-05,1.309e-05,1.309e-05,1,3825432.716,1.309e-05,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SHIB/USDT,1.311e-05,1.313e-05,1.305e-05,1.305e-05,8,39054790.73441,1.31e-05,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
SHIB/USDT,1.311e-05,1.313e-05,1.31e-05,1.312e-05,7,38639618.32062,1.31e-05,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
SHIB/USDT,1.311e-05,1.311e-05,1.31e-05,1.31e-05,5,29631984.73283,1.31e-05,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
SHIB/USDT,1.311e-05,1.311e-05,1.31e-05,1.31e-05,4,16980029.20126,1.31e-05,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
SHIB/USDT,1.311e-05,1.311e-05,1.31e-05,1.31e-05,3,11789312.9771,1.31e-05,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
SHIB/USDT,1.327e-05,1.327e-05,1.323e-05,1.327e-05,7,16326220.59169,1.325e-05,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
SHIB/USDT,1.327e-05,1.327e-05,1.323e-05,1.327e-05,6,15597888.59169,1.325e-05,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
SHIB/USDT,1.327e-05,1.327e-05,1.323e-05,1.324e-05,5,10475055.13276,1.325e-05,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
SHIB/USDT,1.327e-05,1.327e-05,1.323e-05,1.324e-05,4,5338348.18412,1.325e-05,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
SHIB/USDT,1.327e-05,1.327e-05,1.323e-05,1.323e-05,3,4551948.18412,1.326e-05,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
SHIB/USDT,1.327e-05,1.327e-05,1.327e-05,1.327e-05,2,3765548.18412,1.327e-05,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
