symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
SKY/USD,0.03665,0.03665,0.03665,0.03665,1,65.0,0.03665,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SKY/USD,0.03669,0.03982,0.03667,0.03982,3,8865.39,0.03755,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
SKY/USD,0.03669,0.03669,0.03667,0.03667,2,6391.2,0.03668,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
SKY/USD,0.03669,0.03669,0.03669,0.03669,1,4183.2,0.03669,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
SKY/USD,0.03634,0.03634,0.03606,0.03606,2,11032.7,0.03623,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SKY/USD,0.03634,0.03634,0.03634,0.03634,1,6849.5,0.03634,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SKY/USD,0.0387,0.0387,0.03599,0.03627,15,25331.17096,0.03689,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SKY/USD,0.0387,0.0387,0.03599,0.03617,14,17644.47096,0.03716,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SKY/USD,0.0387,0.0387,0.03599,0.03599,13,13461.27096,0.03746,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SKY/USD,0.0387,0.0387,0.03673,0.03673,12,12811.27096,0.03754,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SKY/USD,0.0387,0.0387,0.03783,0.03783,6,5931.7,0.03813,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SKY/USD,0.0387,0.0387,0.0387,0.0387,1,499.2,0.0387,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
SKY/USD,0.0395,0.0395,0.03871,0.03871,9,27339.5,0.03934,2025-02-03T01:52:00.000000000Z,1,2025-02-03T01:53:00.000000Z
SKY/USD,0.0399,0.0399,0.03962,0.03962,3,902.6,0.03962,2025-02-03T01:49:00.000000000Z,1,2025-02-03T01:50:00.000000Z
SKY/USD,0.04032,0.04032,0.0399,0.0399,9,2144.7,0.03997,2025-02-03T01:48:00.000000000Z,1,2025-02-03T01:49:00.000000Z
SKY/USD,0.04068,0.04068,0.04032,0.04032,5,1707.2,0.04056,2025-02-03T00:44:00.000000000Z,1,2025-02-03T00:45:00.000000Z
SKY/USD,0.04109,0.04109,0.04109,0.04109,1,189.9385,0.04109,2025-02-03T00:34:00.000000000Z,1,2025-02-03T00:35:00.000000Z
SKY/USD,0.04132,0.04132,0.04132,0.04132,1,7844.3677,0.04132,2025-02-03T00:21:00.000000000Z,1,2025-02-03T00:22:00.000000Z
SKY/USD,0.04162,0.0432,0.04092,0.0432,16,5396.0017,0.04123,2025-02-02T22:41:00.000000000Z,1,2025-02-02T22:42:00.000000Z
SKY/USD,0.04283,0.04283,0.042,0.042,14,8101.56962,0.04208,2025-02-02T22:40:00.000000000Z,1,2025-02-02T22:41:00.000000Z
SKY/USD,0.04312,0.04312,0.04283,0.04283,2,426.0,0.04304,2025-02-02T22:31:00.000000000Z,1,2025-02-02T22:32:00.000000Z
