symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
SNX/EUR,1.043,1.043,1.037,1.037,2,342.67914351,1.042,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SNX/EUR,1.043,1.043,1.043,1.043,1,290.43950999,1.043,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SNX/EUR,1.056,1.057,1.045,1.045,24,11348.41064034,1.052,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SNX/EUR,1.056,1.057,1.048,1.049,23,11272.54039357,1.052,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SNX/EUR,1.056,1.057,1.048,1.052,22,11197.48126608,1.052,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SNX/EUR,1.056,1.057,1.048,1.049,21,11184.57470715,1.052,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SNX/EUR,1.056,1.057,1.048,1.049,19,10914.19103259,1.052,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SNX/EUR,1.056,1.057,1.048,1.053,17,10602.74078928,1.052,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SNX/EUR,1.056,1.057,1.048,1.055,14,8102.74078928,1.052,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SNX/EUR,1.056,1.057,1.048,1.048,13,8032.41059468,1.052,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SNX/EUR,1.056,1.057,1.052,1.057,9,5532.41059468,1.053,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SNX/EUR,1.056,1.056,1.052,1.056,8,5096.20595019,1.053,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SNX/EUR,1.056,1.056,1.052,1.055,7,5051.69370804,1.053,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SNX/EUR,1.056,1.056,1.052,1.052,6,5000.0,1.053,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SNX/EUR,1.056,1.056,1.055,1.055,3,2500.0,1.055,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SNX/EUR,1.053,1.066,1.044,1.065,15,4357.50797783,1.049,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SNX/EUR,1.053,1.066,1.044,1.066,14,4317.04141712,1.049,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SNX/EUR,1.053,1.055,1.044,1.055,13,4276.61281754,1.049,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SNX/EUR,1.053,1.053,1.044,1.048,12,3840.40813308,1.048,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SNX/EUR,1.053,1.053,1.044,1.048,11,2909.17252268,1.048,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SNX/EUR,1.053,1.053,1.044,1.044,10,2257.24051035,1.048,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SNX/EUR,1.053,1.053,1.046,1.046,7,1323.79316098,1.051,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SNX/EUR,1.053,1.053,1.047,1.047,5,1207.80870929,1.052,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SNX/EUR,1.053,1.053,1.051,1.051,4,1169.14722539,1.052,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SNX/EUR,1.053,1.053,1.051,1.051,3,1047.89568617,1.052,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SNX/EUR,1.053,1.053,1.053,1.053,1,926.51196464,1.053,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SNX/EUR,1.048,1.055,1.048,1.048,3,479.47808747,1.054,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
SNX/EUR,1.048,1.055,1.048,1.055,2,442.72557611,1.054,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
SNX/EUR,1.048,1.048,1.048,1.048,1,10.24208566,1.048,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
SNX/EUR,1.054,1.061,1.054,1.06,3,983.47602168,1.06,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
SNX/EUR,1.054,1.061,1.054,1.061,2,550.99253123,1.06,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
SNX/EUR,1.054,1.054,1.054,1.054,1,12.90303605,1.054,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
SNX/EUR,1.048,1.048,1.038,1.042,12,2981.11232742,1.042,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SNX/EUR,1.048,1.048,1.038,1.04,11,2962.11232742,1.042,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SNX/EUR,1.048,1.048,1.038,1.04,10,2734.90325246,1.043,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SNX/EUR,1.048,1.048,1.038,1.04,9,2507.6941775,1.043,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SNX/EUR,1.048,1.048,1.038,1.04,8,2280.48510254,1.043,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SNX/EUR,1.048,1.048,1.038,1.043,7,2053.27602758,1.044,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SNX/EUR,1.048,1.048,1.038,1.038,6,1613.74345809,1.044,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SNX/EUR,1.048,1.048,1.041,1.041,5,1377.68221481,1.045,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SNX/EUR,1.048,1.048,1.045,1.045,4,1142.30126329,1.046,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SNX/EUR,1.048,1.048,1.045,1.045,3,907.82129149,1.046,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SNX/EUR,1.048,1.048,1.047,1.047,2,673.34131969,1.047,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SNX/EUR,1.048,1.048,1.048,1.048,1,233.8087505,1.048,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SNX/EUR,0.987,1.05,0.986,1.05,22,2634.57884827,1.014,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SNX/EUR,0.987,1.049,0.986,1.049,21,2617.13937666,1.013,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
