symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
SNX/USD,1.066,1.066,1.058,1.058,7,2534.6360266,1.059,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SNX/USD,1.066,1.066,1.06,1.06,5,1358.73984097,1.061,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SNX/USD,1.066,1.066,1.06,1.06,4,1290.87947408,1.061,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SNX/USD,1.066,1.066,1.066,1.066,2,290.87947408,1.066,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SNX/USD,1.066,1.066,1.066,1.066,1,10.28999064,1.066,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SNX/USD,1.083,1.083,1.075,1.079,11,2208.7449691,1.075,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SNX/USD,1.083,1.083,1.075,1.083,10,2142.07954843,1.075,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SNX/USD,1.083,1.083,1.075,1.079,9,2116.97954843,1.075,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SNX/USD,1.083,1.083,1.075,1.075,8,2102.83967522,1.075,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SNX/USD,1.083,1.083,1.076,1.076,7,120.81598443,1.078,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SNX/USD,1.083,1.083,1.077,1.08,6,53.96469362,1.08,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SNX/USD,1.083,1.083,1.077,1.082,5,47.1703985,1.081,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SNX/USD,1.083,1.083,1.077,1.082,4,38.88980679,1.08,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SNX/USD,1.083,1.083,1.077,1.077,3,28.77951268,1.08,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SNX/USD,1.083,1.083,1.082,1.082,2,18.03098711,1.082,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SNX/USD,1.083,1.083,1.083,1.083,1,10.15697137,1.083,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
