symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
SOL/USDT,217.71,217.8,217.69,217.76,9,124.43551873,217.69,2025-02-01T20:26:00.000000000Z,1,2025-02-01T20:27:00.000000Z
SOL/USDT,218.08,218.08,218.08,218.08,1,0.09834224,218.08,2025-02-01T20:27:00.000000000Z,1,2025-02-01T20:28:00.000000Z
SOL/USDT,217.69,217.69,217.67,217.67,3,6.07817558,217.67,2025-02-01T20:28:00.000000000Z,1,2025-02-01T20:29:00.000000Z
SOL/USDT,217.95,217.97,217.95,217.97,4,0.57965849,217.96,2025-02-01T20:30:00.000000000Z,1,2025-02-01T20:31:00.000000Z
SOL/USDT,217.76,217.76,217.76,217.76,1,0.22938936,217.76,2025-02-01T20:31:00.000000000Z,1,2025-02-01T20:32:00.000000Z
SOL/USDT,217.76,217.76,217.75,217.75,2,28.38250524,217.75,2025-02-01T20:32:00.000000000Z,1,2025-02-01T20:33:00.000000Z
SOL/USDT,217.5,217.68,217.49,217.68,4,2.29845379,217.51,2025-02-01T20:33:00.000000000Z,1,2025-02-01T20:34:00.000000Z
SOL/USDT,217.5,217.5,217.32,217.32,4,6.22315661,217.45,2025-02-01T20:34:00.000000000Z,1,2025-02-01T20:35:00.000000Z
SOL/USDT,217.41,217.41,217.19,217.19,6,8.34417321,217.35,2025-02-01T20:36:00.000000000Z,1,2025-02-01T20:37:00.000000Z
SOL/USDT,217.23,217.32,217.0,217.0,13,37.26188005,217.23,2025-02-01T20:37:00.000000000Z,1,2025-02-01T20:38:00.000000Z
