symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
SOL/USD,217.78,217.78,217.26,217.44,54,275.27329626,217.35,2025-02-01T20:28:00.000000000Z,1,2025-02-01T20:29:00.000000Z
SOL/USD,217.42,217.5,217.29,217.5,28,1061.84205263,217.4,2025-02-01T20:29:00.000000000Z,1,2025-02-01T20:30:00.000000Z
SOL/USD,217.5,218.0,217.49,218.0,82,617.83249608,217.65,2025-02-01T20:30:00.000000000Z,1,2025-02-01T20:31:00.000000Z
SOL/USD,218.01,218.01,217.57,217.76,73,669.32704106,217.84,2025-02-01T20:31:00.000000000Z,1,2025-02-01T20:32:00.000000Z
SOL/USD,217.56,217.69,217.49,217.49,15,33.49589233,217.57,2025-02-01T20:32:00.000000000Z,1,2025-02-01T20:33:00.000000Z
SOL/USD,217.24,217.73,217.13,217.64,68,1026.86419403,217.27,2025-02-01T20:33:00.000000000Z,1,2025-02-01T20:34:00.000000Z
SOL/USD,217.54,217.55,217.11,217.15,17,60.83199048,217.23,2025-02-01T20:34:00.000000000Z,1,2025-02-01T20:35:00.000000Z
SOL/USD,217.13,217.78,217.13,217.41,27,235.95433943,217.18,2025-02-01T20:35:00.000000000Z,1,2025-02-01T20:36:00.000000Z
SOL/USD,217.38,217.39,217.1,217.1,17,533.81630967,217.11,2025-02-01T20:36:00.000000000Z,1,2025-02-01T20:37:00.000000Z
SOL/USD,217.1,217.11,217.0,217.0,44,209.28428058,217.04,2025-02-01T20:37:00.000000000Z,1,2025-02-01T20:38:00.000000Z
