symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
SPELL/USD,0.001335,0.001335,0.001334,0.001334,2,14097.31668817,0.001334,2025-02-01T20:21:00.000000000Z,1,2025-02-01T20:22:00.000000Z
SPELL/USD,0.001334,0.001334,0.001334,0.001334,1,2276709.14542729,0.001334,2025-02-01T20:26:00.000000000Z,1,2025-02-01T20:27:00.000000Z
SPELL/USD,0.001332,0.001332,0.001332,0.001332,1,64719.89230609,0.001332,2025-02-01T20:30:00.000000000Z,1,2025-02-01T20:31:00.000000Z
SPELL/USD,0.001331,0.001331,0.001331,0.001331,1,7513.14800901,0.001331,2025-02-01T20:31:00.000000000Z,1,2025-02-01T20:32:00.000000Z
SPELL/USD,0.001331,0.001331,0.001331,0.001331,1,2271700.38530735,0.001331,2025-02-01T20:32:00.000000000Z,1,2025-02-01T20:33:00.000000Z
SPELL/USD,0.001332,0.001332,0.001332,0.001332,1,30193.23671,0.001332,2025-02-01T20:33:00.000000000Z,1,2025-02-01T20:34:00.000000Z
SPELL/USD,0.00133,0.00133,0.001327,0.001327,3,623123.0139367,0.001329,2025-02-01T20:34:00.000000000Z,1,2025-02-01T20:35:00.000000Z
SPELL/USD,0.001323,0.001323,0.00132,0.00132,6,1033432.2300032,0.00132,2025-02-01T20:35:00.000000000Z,1,2025-02-01T20:36:00.000000Z
SPELL/USD,0.001318,0.001318,0.001318,0.001318,3,2049317.14719271,0.001318,2025-02-01T20:36:00.000000000Z,1,2025-02-01T20:37:00.000000Z
SPELL/USD,0.001316,0.001316,0.001306,0.001311,6,736981.27975008,0.001307,2025-02-01T20:37:00.000000000Z,1,2025-02-01T20:38:00.000000Z
