symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
SPX/EUR,0.6839,0.6842,0.6832,0.6832,5,1318.4441,0.6841,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SPX/EUR,0.6839,0.6842,0.6839,0.6842,4,1304.30125,0.6841,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SPX/EUR,0.6839,0.684,0.6839,0.684,2,200.0,0.6839,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SPX/EUR,0.6962,0.6962,0.6962,0.6962,1,45.40026,0.6962,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
SPX/EUR,0.6962,0.7031,0.6962,0.7031,3,147.78739,0.6994,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
SPX/EUR,0.6962,0.6991,0.6962,0.6991,2,98.89998,0.6976,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
SPX/EUR,0.6962,0.6962,0.6962,0.6962,1,49.4853,0.6962,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
SPX/EUR,0.6964,0.6964,0.693,0.693,4,1190.6326,0.6957,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SPX/EUR,0.6964,0.6964,0.6958,0.6958,3,1161.89999,0.6958,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SPX/EUR,0.6964,0.6964,0.6958,0.6958,2,455.89999,0.6959,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SPX/EUR,0.6964,0.6964,0.6964,0.6964,1,85.59999,0.6964,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SPX/EUR,0.6564,0.6959,0.6549,0.6959,13,2574.66633,0.6686,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SPX/EUR,0.6564,0.6941,0.6549,0.6941,12,2555.90218,0.6684,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SPX/EUR,0.6564,0.6923,0.6549,0.6923,11,2524.43289,0.668,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SPX/EUR,0.6564,0.6884,0.6549,0.6884,10,2474.53752,0.6675,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SPX/EUR,0.6564,0.6881,0.6549,0.6881,9,2176.53752,0.6647,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SPX/EUR,0.6564,0.6861,0.6549,0.6861,8,1800.08338,0.6598,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SPX/EUR,0.6564,0.6714,0.6549,0.6714,7,1750.02895,0.6591,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SPX/EUR,0.6564,0.6714,0.6549,0.6714,6,1491.70773,0.6569,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SPX/EUR,0.6564,0.6714,0.6549,0.6714,5,1477.45132,0.6568,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SPX/EUR,0.6564,0.6571,0.6549,0.6571,4,1456.3669,0.6566,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
