symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
SRM/EUR,0.0253,0.0253,0.023,0.023,29,105400.82865982,0.0246,2025-02-03T01:29:00.000000000Z,1,2025-02-03T01:30:00.000000Z
SRM/EUR,0.0267,0.0267,0.0267,0.0267,1,194.67342,0.0267,2025-02-03T00:10:00.000000000Z,1,2025-02-03T00:11:00.000000Z
SRM/EUR,0.0253,0.0253,0.0253,0.0253,1,354.55615,0.0253,2025-02-02T23:46:00.000000000Z,1,2025-02-02T23:47:00.000000Z
SRM/EUR,0.0251,0.0251,0.0251,0.0251,1,4123.50598,0.0251,2025-02-02T23:23:00.000000000Z,1,2025-02-02T23:24:00.000000Z
SRM/EUR,0.025,0.025,0.025,0.025,1,226.81571661,0.025,2025-02-02T23:04:00.000000000Z,1,2025-02-02T23:05:00.000000Z
SRM/EUR,0.026,0.026,0.0253,0.0253,4,17901.5779305,0.0254,2025-02-02T23:03:00.000000000Z,1,2025-02-02T23:04:00.000000Z
SRM/EUR,0.0254,0.026,0.0254,0.026,2,3036.2473607,0.0259,2025-02-02T22:53:00.000000000Z,1,2025-02-02T22:54:00.000000Z
SRM/EUR,0.0262,0.0262,0.025,0.025,18,64354.66518106,0.0252,2025-02-02T22:51:00.000000000Z,1,2025-02-02T22:52:00.000000Z
SRM/EUR,0.0267,0.0267,0.0267,0.0267,1,184.49844,0.0267,2025-02-02T22:50:00.000000000Z,1,2025-02-02T22:51:00.000000Z
SRM/EUR,0.0271,0.0271,0.027,0.027,12,12166.34008058,0.027,2025-02-02T22:49:00.000000000Z,1,2025-02-02T22:50:00.000000Z
