symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
STEP/EUR,0.1386,0.1386,0.1349,0.1349,3,463.77798292,0.1361,2025-01-31T23:46:00.000000000Z,1,2025-01-31T23:47:00.000000Z
STEP/EUR,0.1334,0.1334,0.1334,0.1334,1,95.0,0.1334,2025-02-01T02:46:00.000000000Z,1,2025-02-01T02:47:00.000000Z
STEP/EUR,0.1337,0.1337,0.1337,0.1337,1,2265.56794746,0.1337,2025-02-01T13:28:00.000000000Z,1,2025-02-01T13:29:00.000000Z
STEP/EUR,0.1337,0.1337,0.131,0.131,18,14666.36476455,0.1329,2025-02-01T14:03:00.000000000Z,1,2025-02-01T14:04:00.000000Z
STEP/EUR,0.1321,0.1332,0.1321,0.1332,4,14755.11825962,0.1328,2025-02-01T14:07:00.000000000Z,1,2025-02-01T14:08:00.000000Z
STEP/EUR,0.1334,0.1334,0.1334,0.1334,1,25.0,0.1334,2025-02-01T14:18:00.000000000Z,1,2025-02-01T14:19:00.000000Z
STEP/EUR,0.1369,0.1384,0.1369,0.1384,4,7219.0751445,0.1381,2025-02-01T14:30:00.000000000Z,1,2025-02-01T14:31:00.000000Z
STEP/EUR,0.136,0.136,0.136,0.136,2,200.0,0.136,2025-02-01T16:37:00.000000000Z,1,2025-02-01T16:38:00.000000Z
STEP/EUR,0.1365,0.1365,0.1365,0.1365,1,109.89010989,0.1365,2025-02-01T19:37:00.000000000Z,1,2025-02-01T19:38:00.000000Z
STEP/EUR,0.1311,0.1311,0.1311,0.1311,1,88.90161674,0.1311,2025-02-01T20:20:00.000000000Z,1,2025-02-01T20:21:00.000000Z
