symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
STEP/USD,0.1353,0.1353,0.1353,0.1353,1,184.70169,0.1353,2025-01-31T22:11:00.000000000Z,1,2025-01-31T22:12:00.000000Z
STEP/USD,0.1474,0.1474,0.1474,0.1474,1,157.56221,0.1474,2025-01-31T23:08:00.000000000Z,1,2025-01-31T23:09:00.000000Z
STEP/USD,0.139,0.139,0.1367,0.1367,3,700.0,0.1384,2025-01-31T23:46:00.000000000Z,1,2025-01-31T23:47:00.000000Z
STEP/USD,0.1386,0.1386,0.1371,0.1371,3,4034.13919,0.1372,2025-02-01T13:28:00.000000000Z,1,2025-02-01T13:29:00.000000Z
STEP/USD,0.1369,0.1369,0.1293,0.1362,15,28301.54053945,0.1344,2025-02-01T14:03:00.000000000Z,1,2025-02-01T14:04:00.000000Z
STEP/USD,0.1358,0.1406,0.1358,0.1406,8,28743.88627949,0.1399,2025-02-01T14:07:00.000000000Z,1,2025-02-01T14:08:00.000000Z
STEP/USD,0.1409,0.1409,0.1409,0.1409,1,162.22588137,0.1409,2025-02-01T14:26:00.000000000Z,1,2025-02-01T14:27:00.000000Z
STEP/USD,0.1412,0.1412,0.1412,0.1412,1,44.39449861,0.1412,2025-02-01T15:36:00.000000000Z,1,2025-02-01T15:37:00.000000Z
STEP/USD,0.1413,0.1413,0.1413,0.1413,2,199.45319178,0.1413,2025-02-01T16:37:00.000000000Z,1,2025-02-01T16:38:00.000000Z
STEP/USD,0.141,0.141,0.1409,0.1409,4,3757.55433841,0.1409,2025-02-01T19:37:00.000000000Z,1,2025-02-01T19:38:00.000000Z
