symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
STG/USD,0.3275,0.3275,0.3275,0.3275,1,88.96797,0.3275,2025-02-01T13:08:00.000000000Z,1,2025-02-01T13:09:00.000000Z
STG/USD,0.3282,0.3282,0.3282,0.3282,1,128.451,0.3282,2025-02-01T13:25:00.000000000Z,1,2025-02-01T13:26:00.000000Z
STG/USD,0.3229,0.3229,0.3229,0.3229,1,487.70614729,0.3229,2025-02-01T15:18:00.000000000Z,1,2025-02-01T15:19:00.000000Z
STG/USD,0.3244,0.3244,0.3244,0.3244,1,141.0096,0.3244,2025-02-01T16:01:00.000000000Z,1,2025-02-01T16:02:00.000000Z
STG/USD,0.3232,0.3232,0.3232,0.3232,1,31.18811881,0.3232,2025-02-01T17:01:00.000000000Z,1,2025-02-01T17:02:00.000000Z
STG/USD,0.3236,0.3236,0.3236,0.3236,1,132.78739184,0.3236,2025-02-01T17:04:00.000000000Z,1,2025-02-01T17:05:00.000000Z
STG/USD,0.3229,0.3229,0.3229,0.3229,1,143.926,0.3229,2025-02-01T18:41:00.000000000Z,1,2025-02-01T18:42:00.000000Z
STG/USD,0.3196,0.3196,0.3196,0.3196,1,98.698,0.3196,2025-02-01T19:09:00.000000000Z,1,2025-02-01T19:10:00.000000Z
STG/USD,0.3185,0.3185,0.3185,0.3185,1,311.595,0.3185,2025-02-01T19:15:00.000000000Z,1,2025-02-01T19:16:00.000000Z
STG/USD,0.3137,0.3137,0.3137,0.3137,1,60.19246,0.3137,2025-02-01T20:35:00.000000000Z,1,2025-02-01T20:36:00.000000Z
