symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
STORJ/EUR,0.28161,0.28161,0.28161,0.28161,1,228.683848,0.28161,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
STORJ/EUR,0.28435,0.28435,0.28435,0.28435,1,37.9231883,0.28435,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
STORJ/EUR,0.285,0.285,0.27478,0.27478,7,994.06522072,0.28024,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
STORJ/EUR,0.285,0.285,0.28,0.28,4,783.37464218,0.28044,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
STORJ/EUR,0.285,0.285,0.28359,0.28359,2,91.62921823,0.28369,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
STORJ/EUR,0.285,0.285,0.285,0.285,1,7.0,0.285,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
STORJ/EUR,0.2975,0.2975,0.29,0.29,10,3359.08593537,0.2958,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
STORJ/EUR,0.2975,0.2975,0.29,0.29,9,3354.90533964,0.29581,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
STORJ/EUR,0.2975,0.2975,0.295,0.295,8,3247.08593537,0.296,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
STORJ/EUR,0.2975,0.2975,0.29533,0.29533,7,3147.08593537,0.29603,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
STORJ/EUR,0.2975,0.2975,0.29533,0.29533,6,3024.0,0.29606,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
STORJ/EUR,0.2975,0.2975,0.29533,0.29533,4,2024.0,0.29642,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
STORJ/EUR,0.30078,0.30078,0.3,0.3,16,13119.89058265,0.30047,2025-02-03T01:53:00.000000000Z,1,2025-02-03T01:54:00.000000Z
STORJ/EUR,0.30629,0.30629,0.30629,0.30629,1,35.37725684,0.30629,2025-02-03T01:50:00.000000000Z,1,2025-02-03T01:51:00.000000Z
STORJ/EUR,0.303,0.303,0.30208,0.30208,83,48419.80944541,0.30222,2025-02-03T01:49:00.000000000Z,1,2025-02-03T01:50:00.000000Z
STORJ/EUR,0.30475,0.30475,0.30339,0.30339,2,1042.34073321,0.30387,2025-02-03T01:48:00.000000000Z,1,2025-02-03T01:49:00.000000Z
STORJ/EUR,0.30576,0.30576,0.30475,0.30475,2,2506.05409026,0.3055,2025-02-03T01:47:00.000000000Z,1,2025-02-03T01:48:00.000000Z
STORJ/EUR,0.31499,0.31499,0.31499,0.31499,1,92.167095,0.31499,2025-02-03T01:32:00.000000000Z,1,2025-02-03T01:33:00.000000Z
STORJ/EUR,0.32008,0.32008,0.32008,0.32008,1,94.569288,0.32008,2025-02-03T00:55:00.000000000Z,1,2025-02-03T00:56:00.000000Z
STORJ/EUR,0.32129,0.3214,0.32129,0.3214,3,189.58071,0.32131,2025-02-03T00:54:00.000000000Z,1,2025-02-03T00:55:00.000000Z
STORJ/EUR,0.31756,0.31756,0.31756,0.31756,1,94.981348,0.31756,2025-02-03T00:53:00.000000000Z,1,2025-02-03T00:54:00.000000Z
