symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
STORJ/USD,0.2892,0.2892,0.28797,0.28797,3,500.70254132,0.28896,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
STORJ/USD,0.2892,0.2892,0.2892,0.2892,2,404.82947933,0.2892,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
STORJ/USD,0.2892,0.2892,0.2892,0.2892,1,278.93528846,0.2892,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
STORJ/USD,0.29237,0.29542,0.28919,0.28919,7,480.45630567,0.29175,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
STORJ/USD,0.29237,0.29542,0.29237,0.2941,4,251.77245767,0.29408,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
STORJ/USD,0.29237,0.29542,0.29237,0.29478,3,101.77245767,0.29405,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
STORJ/USD,0.29237,0.29542,0.29237,0.29542,2,64.48558604,0.29364,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
STORJ/USD,0.29282,0.29438,0.28935,0.29237,12,1691.55298565,0.29216,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
STORJ/USD,0.29282,0.29438,0.28935,0.28935,11,1653.92942647,0.29215,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
STORJ/USD,0.29282,0.29438,0.28935,0.28935,10,1621.34086799,0.29221,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
STORJ/USD,0.29282,0.29438,0.28935,0.28935,9,1557.10317937,0.29233,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
STORJ/USD,0.29282,0.29438,0.28935,0.28935,8,1410.10317937,0.29264,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
STORJ/USD,0.29282,0.29438,0.29282,0.29438,7,1317.06316036,0.29287,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
STORJ/USD,0.29282,0.29286,0.29282,0.29286,6,1279.49870317,0.29283,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
STORJ/USD,0.29282,0.29286,0.29282,0.29286,5,1167.73640109,0.29282,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
STORJ/USD,0.29282,0.29286,0.29282,0.29286,4,999.64330216,0.29282,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
STORJ/USD,0.29282,0.29282,0.29282,0.29282,3,879.72957511,0.29282,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
STORJ/USD,0.29282,0.29282,0.29282,0.29282,2,813.67582845,0.29282,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
STORJ/USD,0.29282,0.29282,0.29282,0.29282,1,503.42541027,0.29282,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
STORJ/USD,0.29031,0.29312,0.29031,0.29312,3,102.64688337,0.29106,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
STORJ/USD,0.29031,0.29038,0.29031,0.29038,2,75.8463766,0.29034,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
STORJ/USD,0.29031,0.29031,0.29031,0.29031,1,37.9231883,0.29031,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
STORJ/USD,0.28754,0.29697,0.28754,0.29609,7,306.65006401,0.29344,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
STORJ/USD,0.28754,0.29697,0.28754,0.29655,6,269.55807588,0.29308,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
STORJ/USD,0.28754,0.29697,0.28754,0.29695,5,232.47609099,0.29253,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
STORJ/USD,0.28754,0.29697,0.28754,0.29697,4,199.09379663,0.29179,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
STORJ/USD,0.28754,0.29372,0.28754,0.29372,3,172.23767222,0.29098,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
STORJ/USD,0.28754,0.2876,0.28754,0.2876,2,76.5563559,0.28757,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
STORJ/USD,0.28754,0.28754,0.28754,0.28754,1,38.27817795,0.28754,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
STORJ/USD,0.29277,0.29277,0.28736,0.28736,3,1080.32244717,0.28755,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
STORJ/USD,0.29277,0.29277,0.29277,0.29277,1,37.51449423,0.29277,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
STORJ/USD,0.27955,0.29322,0.27582,0.29322,7,366.70908211,0.2855,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
STORJ/USD,0.27955,0.29322,0.27582,0.29322,6,333.07001436,0.28472,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
STORJ/USD,0.27955,0.2894,0.27582,0.27955,5,306.30732642,0.28398,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
STORJ/USD,0.27955,0.2894,0.27582,0.2894,4,266.37122419,0.28465,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
STORJ/USD,0.27955,0.28514,0.27582,0.27582,3,169.2600669,0.28192,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
STORJ/USD,0.27955,0.28514,0.27955,0.28514,2,129.32396467,0.28381,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
STORJ/USD,0.27955,0.27955,0.27955,0.27955,1,30.76074284,0.27955,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
STORJ/USD,0.29227,0.30256,0.27955,0.27955,19,2167.23327964,0.28857,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
STORJ/USD,0.29227,0.30256,0.28373,0.28373,17,1999.23327964,0.28931,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
STORJ/USD,0.29227,0.30256,0.28797,0.28797,15,1210.18208732,0.2929,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
STORJ/USD,0.29227,0.30256,0.28797,0.28797,14,1168.30902533,0.29308,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
STORJ/USD,0.29227,0.30256,0.28805,0.28807,13,1114.30902533,0.29333,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
STORJ/USD,0.29227,0.30256,0.28805,0.30241,12,1007.85902533,0.29388,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
STORJ/USD,0.29227,0.30256,0.28805,0.28874,11,974.76790001,0.29359,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
STORJ/USD,0.29227,0.30256,0.28805,0.30241,10,875.40790001,0.29414,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
STORJ/USD,0.29227,0.30256,0.28805,0.28805,9,848.5530869,0.29388,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
STORJ/USD,0.29227,0.30256,0.29001,0.29001,7,735.4753869,0.2945,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
STORJ/USD,0.29227,0.30256,0.29227,0.29227,5,427.4753869,0.29774,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
STORJ/USD,0.29227,0.30256,0.29227,0.29242,4,370.26436545,0.29858,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
STORJ/USD,0.29227,0.30256,0.29227,0.30256,3,265.26436545,0.30103,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
