symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
STRD/EUR,0.3187,0.3187,0.3187,0.3187,1,6.078,0.3187,2025-02-03T01:43:00.000000000Z,1,2025-02-03T01:44:00.000000Z
STRD/EUR,0.3342,0.3342,0.3342,0.3342,1,66.6313,0.3342,2025-02-02T18:20:00.000000000Z,1,2025-02-02T18:21:00.000000Z
STRD/EUR,0.3792,0.3792,0.3792,0.3792,1,105.48523,0.3792,2025-02-02T11:06:00.000000000Z,1,2025-02-02T11:07:00.000000Z
STRD/EUR,0.3931,0.4072,0.3931,0.4072,5,1871.0622,0.3946,2025-02-01T11:15:00.000000000Z,1,2025-02-01T11:16:00.000000Z
STRD/EUR,0.4047,0.4047,0.4047,0.4047,1,121.7225,0.4047,2025-02-01T10:19:00.000000000Z,1,2025-02-01T10:20:00.000000Z
STRD/EUR,0.3629,0.3629,0.3629,0.3629,2,926.52005,0.3629,2025-02-01T03:57:00.000000000Z,1,2025-02-01T03:58:00.000000Z
STRD/EUR,0.387,0.3872,0.387,0.3872,5,278.60653,0.3871,2025-02-01T03:54:00.000000000Z,1,2025-02-01T03:55:00.000000Z
STRD/EUR,0.373,0.373,0.373,0.373,1,6.2655,0.373,2025-01-31T14:13:00.000000000Z,1,2025-01-31T14:14:00.000000Z
STRD/EUR,0.4025,0.4025,0.4025,0.4025,1,2.4239,0.4025,2025-01-31T14:02:00.000000000Z,1,2025-01-31T14:03:00.000000Z
STRD/EUR,0.4064,0.4064,0.4064,0.4064,1,119.77499,0.4064,2025-01-30T21:33:00.000000000Z,1,2025-01-30T21:34:00.000000Z
