symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
STRK/EUR,0.33206,0.33206,0.33206,0.33206,1,17.972,0.33206,2025-02-01T16:11:00.000000000Z,1,2025-02-01T16:12:00.000000Z
STRK/EUR,0.32852,0.32852,0.32852,0.32852,1,3.594,0.32852,2025-02-01T17:52:00.000000000Z,1,2025-02-01T17:53:00.000000Z
STRK/EUR,0.326,0.326,0.326,0.326,1,30.94138,0.326,2025-02-01T18:37:00.000000000Z,1,2025-02-01T18:38:00.000000Z
STRK/EUR,0.32372,0.32372,0.32372,0.32372,1,27.78378,0.32372,2025-02-01T18:53:00.000000000Z,1,2025-02-01T18:54:00.000000Z
STRK/EUR,0.32207,0.32207,0.32191,0.32191,3,9274.18565,0.32206,2025-02-01T19:03:00.000000000Z,1,2025-02-01T19:04:00.000000Z
STRK/EUR,0.32191,0.32191,0.32191,0.32191,1,11661.59461,0.32191,2025-02-01T19:04:00.000000000Z,1,2025-02-01T19:05:00.000000Z
STRK/EUR,0.32174,0.32174,0.32174,0.32174,5,8375.57053,0.32174,2025-02-01T19:11:00.000000000Z,1,2025-02-01T19:12:00.000000Z
STRK/EUR,0.318,0.318,0.318,0.318,1,31.66881,0.318,2025-02-01T19:37:00.000000000Z,1,2025-02-01T19:38:00.000000Z
STRK/EUR,0.31768,0.31768,0.31768,0.31768,1,40.0,0.31768,2025-02-01T19:40:00.000000000Z,1,2025-02-01T19:41:00.000000Z
STRK/EUR,0.31414,0.31414,0.31414,0.31414,1,100.249,0.31414,2025-02-01T20:23:00.000000000Z,1,2025-02-01T20:24:00.000000Z
