symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
STRK/USD,0.33018,0.33018,0.33018,0.33018,1,204.88225,0.33018,2025-02-01T19:32:00.000000000Z,1,2025-02-01T19:33:00.000000Z
STRK/USD,0.3293,0.3293,0.329,0.329,4,159.46963,0.32918,2025-02-01T19:37:00.000000000Z,1,2025-02-01T19:38:00.000000Z
STRK/USD,0.32957,0.32958,0.32957,0.32958,2,905.60168,0.32957,2025-02-01T19:58:00.000000000Z,1,2025-02-01T19:59:00.000000Z
STRK/USD,0.32968,0.32968,0.32968,0.32968,1,200.13346,0.32968,2025-02-01T19:59:00.000000000Z,1,2025-02-01T20:00:00.000000Z
STRK/USD,0.3275,0.3275,0.3275,0.3275,1,76.03053,0.3275,2025-02-01T20:02:00.000000000Z,1,2025-02-01T20:03:00.000000Z
STRK/USD,0.32741,0.32741,0.32741,0.32741,1,228.95542,0.32741,2025-02-01T20:04:00.000000000Z,1,2025-02-01T20:05:00.000000Z
STRK/USD,0.32707,0.32707,0.32637,0.32637,5,488.78776,0.32675,2025-02-01T20:05:00.000000000Z,1,2025-02-01T20:06:00.000000Z
STRK/USD,0.32641,0.32641,0.32641,0.32641,1,50.0,0.32641,2025-02-01T20:09:00.000000000Z,1,2025-02-01T20:10:00.000000Z
STRK/USD,0.32561,0.32561,0.32561,0.32561,1,198.64255,0.32561,2025-02-01T20:13:00.000000000Z,1,2025-02-01T20:14:00.000000Z
STRK/USD,0.32399,0.32399,0.32399,0.32399,1,208.79665,0.32399,2025-02-01T20:36:00.000000000Z,1,2025-02-01T20:37:00.000000Z
