symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
STX/USD,0.8464,0.8465,0.8464,0.8465,2,307.78989676,0.8464,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
STX/USD,0.8684,0.8684,0.8525,0.8525,6,14662.33090683,0.8532,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
STX/USD,0.8684,0.8684,0.8597,0.8614,5,975.44715331,0.8631,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
STX/USD,0.8684,0.8684,0.8597,0.8597,2,860.35088286,0.8634,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
STX/USD,0.8684,0.8684,0.8684,0.8684,1,366.89230662,0.8684,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
STX/USD,0.859,0.8665,0.8589,0.865,19,14821.2286072,0.8655,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
STX/USD,0.859,0.8665,0.8589,0.8665,18,14790.79192245,0.8655,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
STX/USD,0.859,0.8665,0.8589,0.8665,17,14027.42436245,0.8654,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
STX/USD,0.859,0.866,0.8589,0.866,16,13935.7012858,0.8654,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
STX/USD,0.859,0.866,0.8589,0.866,15,6997.8647658,0.8649,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
STX/USD,0.859,0.866,0.8589,0.866,14,6901.63856827,0.8648,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
STX/USD,0.859,0.866,0.8589,0.866,13,4945.30938216,0.8644,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
STX/USD,0.859,0.866,0.8589,0.866,12,4330.88162811,0.8642,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
STX/USD,0.859,0.866,0.8589,0.866,11,3437.06963079,0.8637,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
STX/USD,0.859,0.866,0.8589,0.866,10,3233.55474713,0.8636,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
STX/USD,0.859,0.866,0.8589,0.866,9,2687.79734567,0.8631,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
STX/USD,0.859,0.866,0.8589,0.866,8,2683.98682907,0.8631,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
STX/USD,0.859,0.866,0.8589,0.866,7,2680.17149237,0.8631,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
STX/USD,0.859,0.866,0.8589,0.866,6,2673.76177796,0.8631,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
STX/USD,0.859,0.866,0.8589,0.866,5,2667.2148203,0.8631,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
STX/USD,0.859,0.866,0.8589,0.866,4,2656.852,0.8631,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
STX/USD,0.859,0.864,0.8589,0.864,3,2639.142,0.8631,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
STX/USD,0.859,0.859,0.8589,0.8589,2,457.142,0.8589,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
STX/USD,0.8592,0.8592,0.8592,0.8592,2,1166.84851115,0.8592,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
STX/USD,0.8592,0.8592,0.8592,0.8592,1,19.77151551,0.8592,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
STX/USD,0.8688,0.8718,0.8672,0.8672,5,2668.24187831,0.8673,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
STX/USD,0.8688,0.8718,0.8687,0.8718,4,123.06273063,0.8712,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
STX/USD,0.8688,0.8688,0.8687,0.8687,2,23.06273063,0.8687,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
STX/USD,0.8615,0.8615,0.8469,0.8608,24,3809.06050388,0.8581,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
STX/USD,0.8615,0.8615,0.8469,0.8558,21,2745.06050388,0.8571,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
STX/USD,0.8615,0.8615,0.8469,0.8469,19,2608.27050388,0.8571,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
STX/USD,0.8615,0.8615,0.8473,0.8537,17,2458.18850388,0.8577,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
STX/USD,0.8615,0.8615,0.8473,0.8512,16,2203.6996966,0.8582,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
STX/USD,0.8615,0.8615,0.8473,0.8473,15,2200.06957027,0.8582,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
STX/USD,0.8615,0.8615,0.8517,0.8523,13,2155.00957027,0.8585,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
STX/USD,0.8615,0.8615,0.8517,0.8532,12,2150.46800692,0.8585,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
STX/USD,0.8615,0.8615,0.8517,0.8575,10,2077.84800692,0.8587,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
STX/USD,0.8615,0.8615,0.8517,0.8564,8,1456.46689302,0.8592,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
STX/USD,0.8615,0.8615,0.8517,0.8517,7,1201.97808574,0.8598,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
STX/USD,0.8615,0.8615,0.8517,0.8517,5,1169.64270014,0.86,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
STX/USD,0.8615,0.8615,0.8575,0.8575,3,1114.64270014,0.8604,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
STX/USD,0.8615,0.8615,0.8615,0.8615,2,829.65975298,0.8615,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
STX/USD,0.8615,0.8615,0.8615,0.8615,1,546.0,0.8615,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
STX/USD,0.8079,0.863,0.8069,0.863,27,3931.96750425,0.8536,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
STX/USD,0.8079,0.8567,0.8069,0.8536,23,1943.22052887,0.8441,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
STX/USD,0.8079,0.8567,0.8069,0.8567,22,1540.52968056,0.8417,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
STX/USD,0.8079,0.8509,0.8069,0.8509,20,1326.4009288,0.8392,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
STX/USD,0.8079,0.8509,0.8069,0.8509,19,1042.4276788,0.8361,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
STX/USD,0.8079,0.8509,0.8069,0.8509,18,1039.20984407,0.836,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
STX/USD,0.8079,0.8509,0.8069,0.8509,17,1035.99666385,0.836,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
STX/USD,0.8079,0.8509,0.8069,0.8509,16,1032.16479811,0.8359,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
STX/USD,0.8079,0.848,0.8069,0.848,15,1027.66784243,0.8359,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
STX/USD,0.8079,0.848,0.8069,0.848,14,725.5209469,0.8308,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
STX/USD,0.8079,0.848,0.8069,0.848,13,720.87090437,0.8307,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
STX/USD,0.8079,0.848,0.8069,0.848,12,700.83911485,0.8302,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
STX/USD,0.8079,0.848,0.8069,0.848,11,680.80732533,0.8297,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
STX/USD,0.8079,0.8383,0.8069,0.8383,10,660.77553581,0.8292,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
STX/USD,0.8079,0.8362,0.8069,0.8351,9,653.40620529,0.8291,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
STX/USD,0.8079,0.8362,0.8069,0.8362,8,379.0922031,0.8247,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
STX/USD,0.8079,0.8254,0.8069,0.8254,7,330.86725677,0.8231,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
