symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
SUI/USD,2.75,2.7501,2.75,2.75,41,56139.83734,2.75,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SUI/USD,2.75,2.7501,2.75,2.75,40,51139.83734,2.75,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SUI/USD,2.75,2.7501,2.75,2.75,39,50139.83734,2.75,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SUI/USD,2.75,2.7501,2.75,2.75,38,49986.27484,2.75,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SUI/USD,2.75,2.7501,2.75,2.75,37,49832.71234,2.75,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SUI/USD,2.75,2.7501,2.75,2.75,36,47225.37839,2.75,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SUI/USD,2.75,2.7501,2.75,2.75,35,47105.6421,2.75,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SUI/USD,2.75,2.7501,2.75,2.75,34,46844.19949,2.75,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SUI/USD,2.75,2.7501,2.75,2.75,33,46245.49623,2.75,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SUI/USD,2.75,2.7501,2.75,2.75,32,46125.75994,2.75,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SUI/USD,2.75,2.7501,2.75,2.75,31,45886.27865,2.75,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SUI/USD,2.75,2.7501,2.75,2.75,30,40886.27865,2.75,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SUI/USD,2.75,2.7501,2.75,2.75,29,40529.67817,2.75,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SUI/USD,2.75,2.7501,2.75,2.75,28,40493.63426,2.75,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SUI/USD,2.75,2.7501,2.75,2.75,27,40118.88716,2.75,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SUI/USD,2.75,2.7501,2.75,2.75,26,36567.10366,2.75,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SUI/USD,2.75,2.7501,2.75,2.7501,25,36407.49217,2.75,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SUI/USD,2.75,2.7501,2.75,2.7501,24,36405.67405,2.75,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SUI/USD,2.75,2.7501,2.75,2.75,23,36388.02205,2.75,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SUI/USD,2.75,2.7501,2.75,2.75,22,34894.00469,2.75,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SUI/USD,2.75,2.7501,2.75,2.75,21,33026.48299,2.75,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SUI/USD,2.75,2.7501,2.75,2.75,20,30413.14864,2.75,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SUI/USD,2.75,2.7501,2.75,2.75,19,27801.54976,2.75,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SUI/USD,2.75,2.7501,2.75,2.75,18,26801.54976,2.75,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SUI/USD,2.75,2.7501,2.75,2.75,17,24938.8436,2.75,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SUI/USD,2.75,2.7501,2.75,2.75,16,24935.8436,2.75,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SUI/USD,2.75,2.7501,2.75,2.75,15,24832.37032,2.75,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
