symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
SUSHI/EUR,1.179,1.179,1.179,1.179,1,4.15118242,1.179,2025-02-01T18:07:00.000000000Z,1,2025-02-01T18:08:00.000000Z
SUSHI/EUR,1.177,1.177,1.177,1.177,1,21.16850127,1.177,2025-02-01T18:22:00.000000000Z,1,2025-02-01T18:23:00.000000Z
SUSHI/EUR,1.167,1.167,1.167,1.167,1,175.02824416,1.167,2025-02-01T18:38:00.000000000Z,1,2025-02-01T18:39:00.000000Z
SUSHI/EUR,1.16,1.16,1.16,1.16,1,38.72966692,1.16,2025-02-01T18:48:00.000000000Z,1,2025-02-01T18:49:00.000000Z
SUSHI/EUR,1.146,1.146,1.146,1.146,1,3916.40488656,1.146,2025-02-01T19:23:00.000000000Z,1,2025-02-01T19:24:00.000000Z
SUSHI/EUR,1.133,1.133,1.133,1.133,1,92.32422507,1.133,2025-02-01T20:00:00.000000000Z,1,2025-02-01T20:01:00.000000Z
SUSHI/EUR,1.125,1.125,1.125,1.125,1,5.0,1.125,2025-02-01T20:12:00.000000000Z,1,2025-02-01T20:13:00.000000Z
SUSHI/EUR,1.118,1.118,1.118,1.118,1,28.97574268,1.118,2025-02-01T20:20:00.000000000Z,1,2025-02-01T20:21:00.000000Z
SUSHI/EUR,1.118,1.118,1.118,1.118,1,0.8684,1.118,2025-02-01T20:21:00.000000000Z,1,2025-02-01T20:22:00.000000Z
SUSHI/EUR,1.112,1.112,1.112,1.112,1,50.0,1.112,2025-02-01T20:29:00.000000000Z,1,2025-02-01T20:30:00.000000Z
