symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
SUSHI/USD,0.766,0.766,0.761,0.761,3,264.1475281,0.764,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SUSHI/USD,0.766,0.766,0.766,0.766,2,205.58787853,0.766,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SUSHI/USD,0.766,0.766,0.766,0.766,1,200.0,0.766,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SUSHI/USD,0.782,0.783,0.774,0.774,5,20607.61130829,0.779,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SUSHI/USD,0.782,0.783,0.775,0.775,4,15447.33161829,0.781,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SUSHI/USD,0.782,0.783,0.781,0.781,3,15332.29123138,0.781,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SUSHI/USD,0.782,0.783,0.782,0.783,2,10218.51344124,0.782,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SUSHI/USD,0.782,0.782,0.782,0.782,1,5111.79077506,0.782,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SUSHI/USD,0.773,0.784,0.771,0.784,10,19181.22372701,0.78,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SUSHI/USD,0.773,0.784,0.771,0.784,9,14085.16384043,0.778,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SUSHI/USD,0.773,0.784,0.771,0.784,8,13885.16384043,0.778,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SUSHI/USD,0.773,0.784,0.771,0.784,7,13585.16384043,0.778,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SUSHI/USD,0.773,0.784,0.771,0.784,6,12794.16384043,0.778,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SUSHI/USD,0.773,0.773,0.771,0.771,3,5685.06384043,0.771,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SUSHI/USD,0.773,0.773,0.773,0.773,2,500.0,0.773,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SUSHI/USD,0.773,0.773,0.773,0.773,1,200.0,0.773,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SUSHI/USD,0.779,0.779,0.772,0.772,9,7674.06019856,0.773,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
SUSHI/USD,0.779,0.779,0.774,0.775,8,2502.88616316,0.776,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
SUSHI/USD,0.779,0.779,0.775,0.776,6,2035.01983926,0.776,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
SUSHI/USD,0.779,0.779,0.775,0.776,5,1835.01983926,0.776,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
SUSHI/USD,0.779,0.779,0.775,0.775,4,1535.01983926,0.777,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
SUSHI/USD,0.779,0.779,0.777,0.777,3,1519.81115526,0.777,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
SUSHI/USD,0.779,0.779,0.777,0.777,2,229.48857462,0.778,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
SUSHI/USD,0.779,0.779,0.779,0.779,1,114.74428731,0.779,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
SUSHI/USD,0.784,0.784,0.784,0.784,2,371.75409771,0.784,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
SUSHI/USD,0.784,0.784,0.784,0.784,1,200.86774867,0.784,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
SUSHI/USD,0.778,0.783,0.772,0.783,13,14217.99866401,0.78,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SUSHI/USD,0.778,0.783,0.772,0.783,12,9905.48087548,0.779,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SUSHI/USD,0.778,0.782,0.772,0.782,11,9114.48087548,0.779,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SUSHI/USD,0.778,0.778,0.772,0.773,10,4643.99510286,0.776,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SUSHI/USD,0.778,0.778,0.772,0.773,9,4473.10875382,0.776,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SUSHI/USD,0.778,0.778,0.772,0.772,7,4238.22240478,0.776,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SUSHI/USD,0.778,0.778,0.772,0.772,6,4067.33605574,0.777,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
SUSHI/USD,0.778,0.778,0.773,0.773,5,3896.4497067,0.777,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
