symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
SWELL/USD,0.0121,0.0121,0.0121,0.0121,4,35911.14874,0.0121,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SWELL/USD,0.0121,0.0121,0.0121,0.0121,3,33125.01854,0.0121,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
SWELL/USD,0.0123,0.0123,0.0123,0.0123,4,31749.99999,0.0123,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
SWELL/USD,0.0124,0.0124,0.0124,0.0124,2,9942.63966,0.0124,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SWELL/USD,0.0124,0.0124,0.0124,0.0124,1,5296.0,0.0124,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
SWELL/USD,0.0126,0.0126,0.0123,0.0123,4,73739.735,0.0123,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
SWELL/USD,0.0126,0.0126,0.0123,0.0123,3,54526.73497,0.0123,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
SWELL/USD,0.0126,0.0126,0.0126,0.0126,1,6879.735,0.0126,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
SWELL/USD,0.0124,0.0124,0.0124,0.0124,3,28517.99999,0.0124,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
SWELL/USD,0.0124,0.0124,0.0124,0.0124,1,10677.99999,0.0124,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
SWELL/USD,0.0118,0.0123,0.0118,0.0123,12,227240.99998,0.0119,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SWELL/USD,0.0118,0.0121,0.0118,0.0121,10,210991.99998,0.0119,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SWELL/USD,0.0118,0.0119,0.0118,0.0119,8,148745.99999,0.0118,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SWELL/USD,0.0118,0.0119,0.0118,0.0119,7,141757.99999,0.0118,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SWELL/USD,0.0118,0.0118,0.0118,0.0118,6,119896.0,0.0118,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SWELL/USD,0.0118,0.0118,0.0118,0.0118,5,87592.53613,0.0118,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SWELL/USD,0.0118,0.0118,0.0118,0.0118,2,34247.53613,0.0118,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
SWELL/USD,0.0122,0.0122,0.0122,0.0122,3,1980.0,0.0122,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
SWELL/USD,0.0122,0.0122,0.0122,0.0122,2,1209.0,0.0122,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
SWELL/USD,0.0129,0.0129,0.0126,0.0126,17,64877.0,0.0128,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
SWELL/USD,0.0129,0.0129,0.0126,0.0126,15,61452.0,0.0128,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
SWELL/USD,0.0129,0.0129,0.0129,0.0129,12,51553.0,0.0129,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
SWELL/USD,0.013,0.013,0.0129,0.0129,9,4897.0,0.0129,2025-02-03T01:53:00.000000000Z,1,2025-02-03T01:54:00.000000Z
SWELL/USD,0.0131,0.0131,0.0131,0.0131,4,50457.0,0.0131,2025-02-03T01:49:00.000000000Z,1,2025-02-03T01:50:00.000000Z
SWELL/USD,0.0133,0.0133,0.0133,0.0133,3,42644.28045,0.0133,2025-02-03T01:47:00.000000000Z,1,2025-02-03T01:48:00.000000Z
SWELL/USD,0.0136,0.0136,0.0136,0.0136,5,9942.63966,0.0136,2025-02-03T01:45:00.000000000Z,1,2025-02-03T01:46:00.000000Z
SWELL/USD,0.0136,0.0136,0.0136,0.0136,1,9723.35984,0.0136,2025-02-03T01:31:00.000000000Z,1,2025-02-03T01:32:00.000000Z
SWELL/USD,0.0136,0.0136,0.0136,0.0136,1,9504.2978,0.0136,2025-02-03T01:15:00.000000000Z,1,2025-02-03T01:16:00.000000Z
SWELL/USD,0.0137,0.0137,0.0137,0.0137,6,40051.72985,0.0137,2025-02-03T01:10:00.000000000Z,1,2025-02-03T01:11:00.000000Z
SWELL/USD,0.0138,0.0138,0.0138,0.0138,1,490.93993,0.0138,2025-02-03T01:03:00.000000000Z,1,2025-02-03T01:04:00.000000Z
SWELL/USD,0.0138,0.0138,0.0138,0.0138,2,1936.04123,0.0138,2025-02-03T01:02:00.000000000Z,1,2025-02-03T01:03:00.000000Z
