symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
SYRUP/USD,0.13008,0.13008,0.13008,0.13008,1,54.87851,0.13008,2025-02-01T16:13:00.000000000Z,1,2025-02-01T16:14:00.000000Z
SYRUP/USD,0.13071,0.13111,0.13071,0.13111,2,999.96733,0.13106,2025-02-01T16:31:00.000000000Z,1,2025-02-01T16:32:00.000000Z
SYRUP/USD,0.13112,0.1316,0.13112,0.1316,4,4282.802,0.13146,2025-02-01T16:36:00.000000000Z,1,2025-02-01T16:37:00.000000Z
SYRUP/USD,0.13127,0.13172,0.13127,0.13172,3,4390.41,0.13158,2025-02-01T16:37:00.000000000Z,1,2025-02-01T16:38:00.000000Z
SYRUP/USD,0.1313,0.1313,0.1313,0.1313,1,39.1699,0.1313,2025-02-01T16:38:00.000000000Z,1,2025-02-01T16:39:00.000000Z
SYRUP/USD,0.13232,0.13249,0.13232,0.13249,2,102.623,0.13244,2025-02-01T18:39:00.000000000Z,1,2025-02-01T18:40:00.000000Z
SYRUP/USD,0.13204,0.13204,0.13195,0.13195,2,648.45266,0.13196,2025-02-01T19:19:00.000000000Z,1,2025-02-01T19:20:00.000000Z
SYRUP/USD,0.13055,0.13055,0.13055,0.13055,1,76.87129,0.13055,2025-02-01T20:20:00.000000000Z,1,2025-02-01T20:21:00.000000Z
SYRUP/USD,0.13035,0.13035,0.13035,0.13035,1,54.87851,0.13035,2025-02-01T20:24:00.000000000Z,1,2025-02-01T20:25:00.000000Z
SYRUP/USD,0.13049,0.13049,0.13049,0.13049,1,76.63422,0.13049,2025-02-01T20:28:00.000000000Z,1,2025-02-01T20:29:00.000000Z
