symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
TIA/USD,2.6893,2.6903,2.6479,2.6553,57,8046.55282,2.6622,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.6479,2.6587,56,7858.25022,2.6624,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.6479,2.6587,55,7827.87522,2.6624,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.6479,2.6587,54,7767.12522,2.6624,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.6479,2.6587,53,7736.75022,2.6624,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.6479,2.6587,52,7706.37522,2.6625,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.6479,2.6587,51,7645.62522,2.6625,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.6479,2.6587,50,7615.25022,2.6625,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.6479,2.6587,49,7524.12522,2.6626,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.6479,2.6587,48,7463.37522,2.6626,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.6479,2.6587,47,7433.00022,2.6626,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.6479,2.6587,46,7372.25022,2.6626,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.6479,2.6587,45,7311.50022,2.6627,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.6479,2.6479,44,7281.12522,2.6627,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.6521,2.6521,38,6904.05132,2.6635,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.658,2.658,37,6873.67632,2.6635,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.658,2.658,36,6865.45681,2.6635,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.658,2.658,35,6644.45681,2.6637,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.658,2.658,34,6258.08662,2.6641,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.658,2.658,33,6257.1772,2.6641,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.658,2.658,32,5902.2072,2.6644,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.658,2.658,31,5798.1972,2.6646,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.658,2.658,30,5687.6072,2.6647,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.658,2.658,29,5497.7872,2.6649,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.658,2.658,28,5330.3572,2.6651,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.658,2.658,27,5189.9672,2.6653,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.658,2.658,26,5022.5272,2.6656,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.658,2.658,25,4918.5272,2.6657,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.658,2.658,24,4753.08564,2.666,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.658,2.658,23,4701.57965,2.6661,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.658,2.658,22,4641.35965,2.6662,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.658,2.658,21,4508.35965,2.6665,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.658,2.6584,19,4358.44564,2.6667,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.658,2.6613,18,4346.94143,2.6668,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.658,2.658,17,4288.97186,2.6668,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.6586,2.6593,15,3400.24499,2.6692,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.6586,2.6604,14,3227.61518,2.6697,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.6586,2.6587,13,3055.05674,2.6702,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.6586,2.6602,12,2882.38797,2.6709,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.6586,2.6586,11,2709.81656,2.6716,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.6589,2.6599,9,2459.90656,2.6729,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.6589,2.6589,8,2346.47656,2.6735,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.6589,2.6589,7,2248.17479,2.6742,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.6594,2.6594,6,2164.5974,2.6748,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.6595,2.6595,5,2126.60104,2.6751,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.67,2.67,4,1847.41487,2.6774,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.6893,2.6903,2.6893,2.6903,2,677.32429,2.6902,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TIA/USD,2.7391,2.7401,2.6955,2.7068,33,10429.72454,2.7218,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
TIA/USD,2.7391,2.7401,2.6955,2.7062,31,10392.7682,2.7218,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
TIA/USD,2.7391,2.7401,2.6955,2.6955,30,10300.71452,2.722,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
TIA/USD,2.7391,2.7401,2.6962,2.6964,29,10040.3135,2.7227,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
TIA/USD,2.7391,2.7401,2.6962,2.6962,27,9257.80109,2.7249,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
TIA/USD,2.7391,2.7401,2.6962,2.6962,26,9197.05109,2.7251,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
TIA/USD,2.7391,2.7401,2.7,2.7,25,9190.68149,2.7251,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
TIA/USD,2.7391,2.7401,2.7,2.7,24,9166.67609,2.7252,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
TIA/USD,2.7391,2.7401,2.7,2.7,23,8941.36701,2.7258,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
TIA/USD,2.7391,2.7401,2.7,2.7,22,8917.36162,2.7259,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
TIA/USD,2.7391,2.7401,2.7,2.7,21,8812.95589,2.7262,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
TIA/USD,2.7391,2.7401,2.7061,2.7104,20,8690.68149,2.7266,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
TIA/USD,2.7391,2.7401,2.7061,2.7104,19,8313.46007,2.7273,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
