symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
TLM/EUR,0.00901,0.00901,0.00901,0.00901,1,1769.34369396,0.00901,2025-01-30T23:16:00.000000000Z,1,2025-01-30T23:17:00.000000Z
TLM/EUR,0.00904,0.00904,0.00904,0.00904,1,8722.66370621,0.00904,2025-01-31T02:00:00.000000000Z,1,2025-01-31T02:01:00.000000Z
TLM/EUR,0.00901,0.00901,0.00901,0.00901,1,1077.55137,0.00901,2025-01-31T07:05:00.000000000Z,1,2025-01-31T07:06:00.000000Z
TLM/EUR,0.00915,0.00915,0.00915,0.00915,1,1732.82737313,0.00915,2025-01-31T11:33:00.000000000Z,1,2025-01-31T11:34:00.000000Z
TLM/EUR,0.00918,0.00918,0.00918,0.00918,1,19677.04793028,0.00918,2025-01-31T12:19:00.000000000Z,1,2025-01-31T12:20:00.000000Z
TLM/EUR,0.00925,0.00925,0.00925,0.00925,1,1622.4174227,0.00925,2025-01-31T14:07:00.000000000Z,1,2025-01-31T14:08:00.000000Z
TLM/EUR,0.00901,0.00901,0.00901,0.00901,1,1038.07396,0.00901,2025-01-31T21:00:00.000000000Z,1,2025-01-31T21:01:00.000000Z
TLM/EUR,0.00916,0.00916,0.00916,0.00916,1,5260.60997595,0.00916,2025-02-01T04:53:00.000000000Z,1,2025-02-01T04:54:00.000000Z
TLM/EUR,0.00899,0.00899,0.00899,0.00899,1,1000.70708498,0.00899,2025-02-01T09:12:00.000000000Z,1,2025-02-01T09:13:00.000000Z
TLM/EUR,0.00891,0.00891,0.00891,0.00891,1,5727.3943,0.00891,2025-02-01T13:53:00.000000000Z,1,2025-02-01T13:54:00.000000Z
