symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
TLM/USD,0.00608,0.00608,0.00607,0.00607,2,27092.83650803,0.00607,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
TLM/USD,0.00637,0.00637,0.00607,0.00608,8,263133.82491485,0.00628,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
TLM/USD,0.00637,0.00637,0.00607,0.00607,7,260827.69523393,0.00628,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
TLM/USD,0.00637,0.00637,0.00635,0.00635,6,194929.83691433,0.00635,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
TLM/USD,0.00637,0.00637,0.00635,0.00635,5,109300.05761199,0.00636,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
TLM/USD,0.00637,0.00637,0.00635,0.00635,4,96195.50608805,0.00636,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
TLM/USD,0.00637,0.00637,0.00635,0.00635,3,94061.34850863,0.00636,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
TLM/USD,0.00637,0.00637,0.00635,0.00635,2,73073.34850863,0.00636,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
TLM/USD,0.00637,0.00637,0.00637,0.00637,1,62794.34850863,0.00637,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
TLM/USD,0.00681,0.00681,0.00681,0.00681,4,74889.8678414,0.00681,2025-02-03T01:48:00.000000000Z,1,2025-02-03T01:49:00.000000Z
TLM/USD,0.00684,0.00684,0.00684,0.00684,1,33184.80990057,0.00684,2025-02-03T01:46:00.000000000Z,1,2025-02-03T01:47:00.000000Z
TLM/USD,0.00689,0.00689,0.00689,0.00689,1,19998.6502177,0.00689,2025-02-03T01:45:00.000000000Z,1,2025-02-03T01:46:00.000000Z
TLM/USD,0.00689,0.00691,0.00689,0.00691,2,39917.48610579,0.00689,2025-02-03T01:44:00.000000000Z,1,2025-02-03T01:45:00.000000Z
TLM/USD,0.00692,0.00692,0.00688,0.0069,3,99023.49039018,0.00689,2025-02-03T01:43:00.000000000Z,1,2025-02-03T01:44:00.000000Z
TLM/USD,0.00717,0.00717,0.00717,0.00717,1,750.0,0.00717,2025-02-03T00:25:00.000000000Z,1,2025-02-03T00:26:00.000000Z
TLM/USD,0.00726,0.00726,0.00726,0.00726,1,21482.88861068,0.00726,2025-02-03T00:13:00.000000000Z,1,2025-02-03T00:14:00.000000Z
TLM/USD,0.00712,0.00712,0.00712,0.00712,1,278.02274,0.00712,2025-02-02T23:26:00.000000000Z,1,2025-02-02T23:27:00.000000Z
TLM/USD,0.00723,0.00723,0.00723,0.00723,2,63239.42822145,0.00723,2025-02-02T23:22:00.000000000Z,1,2025-02-02T23:23:00.000000Z
TLM/USD,0.0073,0.0073,0.0073,0.0073,1,8980.95238095,0.0073,2025-02-02T23:17:00.000000000Z,1,2025-02-02T23:18:00.000000Z
