symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
TNSR/USD,0.2728,0.2728,0.2728,0.2728,1,37.41422,0.2728,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TNSR/USD,0.28,0.2801,0.275,0.275,16,4184.32647,0.2777,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
TNSR/USD,0.28,0.2801,0.2758,0.276,15,3706.82655,0.278,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
TNSR/USD,0.28,0.2801,0.2758,0.276,14,3254.80824,0.2783,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
TNSR/USD,0.28,0.2801,0.2758,0.276,13,3245.26247,0.2783,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
TNSR/USD,0.28,0.2801,0.2758,0.276,12,3233.47476,0.2783,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
TNSR/USD,0.28,0.2801,0.2758,0.2758,11,3218.69991,0.2783,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
TNSR/USD,0.28,0.2801,0.2759,0.2759,10,2740.30443,0.2788,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
TNSR/USD,0.28,0.2801,0.2766,0.2775,9,2669.15538,0.2788,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
TNSR/USD,0.28,0.2801,0.2766,0.2766,6,1663.82977,0.28,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
TNSR/USD,0.28,0.2801,0.2781,0.2781,5,1654.99616,0.28,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
TNSR/USD,0.28,0.2801,0.2797,0.2801,4,1646.21839,0.28,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
TNSR/USD,0.28,0.2801,0.2797,0.2801,3,1065.95363,0.28,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
TNSR/USD,0.28,0.28,0.2797,0.2797,2,568.55143,0.2799,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
TNSR/USD,0.28,0.28,0.28,0.28,1,497.72991,0.28,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
TNSR/USD,0.2793,0.2802,0.2764,0.2802,5,2131.92348,0.2782,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
TNSR/USD,0.2793,0.2793,0.2764,0.2772,4,1654.00927,0.2777,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
TNSR/USD,0.2793,0.2793,0.2764,0.2764,3,1460.52659,0.2777,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
TNSR/USD,0.2793,0.2793,0.2776,0.2776,2,975.47066,0.2784,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
TNSR/USD,0.2793,0.2793,0.2793,0.2793,1,495.19601,0.2793,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
TNSR/USD,0.2784,0.2804,0.2783,0.2787,6,1665.09595,0.2791,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
TNSR/USD,0.2784,0.2804,0.2783,0.2785,5,1656.48789,0.2791,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
TNSR/USD,0.2784,0.2804,0.2783,0.2783,4,1647.83993,0.2791,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
TNSR/USD,0.2784,0.2804,0.2784,0.2789,3,1454.35725,0.2792,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
TNSR/USD,0.2784,0.2804,0.2784,0.2804,2,959.22879,0.2794,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
TNSR/USD,0.2784,0.2784,0.2784,0.2784,1,475.87568,0.2784,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
TNSR/USD,0.2819,0.2819,0.2819,0.2819,3,26.18299,0.2819,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
TNSR/USD,0.2819,0.2819,0.2819,0.2819,2,17.41087,0.2819,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
TNSR/USD,0.2819,0.2819,0.2819,0.2819,1,8.63875,0.2819,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
TNSR/USD,0.2846,0.2846,0.2737,0.2737,11,2438.5035,0.2785,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
TNSR/USD,0.2846,0.2846,0.276,0.2765,10,1952.83116,0.2796,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
TNSR/USD,0.2846,0.2846,0.276,0.2765,9,1694.59075,0.2801,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
TNSR/USD,0.2846,0.2846,0.276,0.276,8,1456.39075,0.2807,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
TNSR/USD,0.2846,0.2846,0.276,0.276,7,1212.2694,0.2817,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
TNSR/USD,0.2846,0.2846,0.276,0.276,6,978.3694,0.2831,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
TNSR/USD,0.2846,0.2846,0.276,0.276,5,969.06084,0.2831,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
