symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
TOKEN/USD,0.02351,0.02351,0.02351,0.02351,1,401.78571,0.02351,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
TOKEN/USD,0.02488,0.02488,0.02415,0.02415,4,1679.18132,0.02451,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
TOKEN/USD,0.02488,0.02488,0.0244,0.0244,3,1253.08324,0.02463,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
TOKEN/USD,0.02488,0.02488,0.02464,0.02464,2,831.3019,0.02475,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
TOKEN/USD,0.02488,0.02488,0.02488,0.02488,1,413.57615,0.02488,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
TOKEN/USD,0.02345,0.02345,0.02343,0.02343,2,2558.40708,0.02343,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
TOKEN/USD,0.02487,0.02487,0.02369,0.02369,9,6523.15496,0.02417,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
TOKEN/USD,0.02487,0.02487,0.0239,0.0239,8,6101.37362,0.02421,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
TOKEN/USD,0.02487,0.02487,0.02416,0.02416,6,3593.27131,0.02443,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
TOKEN/USD,0.02487,0.02487,0.02465,0.02465,3,721.45844,0.02474,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
TOKEN/USD,0.02487,0.02487,0.02465,0.02465,2,685.0,0.02475,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
TOKEN/USD,0.02565,0.02565,0.02487,0.02487,10,5243.57289,0.02517,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
TOKEN/USD,0.02565,0.02565,0.02487,0.02487,9,4625.57289,0.02521,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
TOKEN/USD,0.02565,0.02565,0.02536,0.02536,6,2752.57289,0.0254,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
TOKEN/USD,0.02565,0.02565,0.02536,0.02536,5,2366.0,0.02541,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
TOKEN/USD,0.02565,0.02565,0.02536,0.02536,4,1771.0,0.02543,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
TOKEN/USD,0.02565,0.02565,0.02539,0.02539,2,743.0,0.02552,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
TOKEN/USD,0.02591,0.02706,0.02587,0.02587,8,9992.53367,0.02674,2025-02-03T01:53:00.000000000Z,1,2025-02-03T01:54:00.000000Z
TOKEN/USD,0.02669,0.02669,0.02616,0.02616,11,53654.09161,0.02656,2025-02-03T01:49:00.000000000Z,1,2025-02-03T01:50:00.000000Z
TOKEN/USD,0.02696,0.02696,0.02696,0.02696,1,319.1973,0.02696,2025-02-03T01:47:00.000000000Z,1,2025-02-03T01:48:00.000000Z
TOKEN/USD,0.02723,0.02723,0.02723,0.02723,1,410.53984,0.02723,2025-02-03T01:45:00.000000000Z,1,2025-02-03T01:46:00.000000Z
TOKEN/USD,0.0281,0.0281,0.0281,0.0281,2,2620.0,0.0281,2025-02-03T01:21:00.000000000Z,1,2025-02-03T01:22:00.000000Z
TOKEN/USD,0.02785,0.02785,0.02785,0.02785,1,3003.0,0.02785,2025-02-03T01:10:00.000000000Z,1,2025-02-03T01:11:00.000000Z
TOKEN/USD,0.02805,0.02805,0.02805,0.02805,1,399.17737,0.02805,2025-02-03T01:03:00.000000000Z,1,2025-02-03T01:04:00.000000Z
TOKEN/USD,0.02723,0.02723,0.02696,0.02696,2,461.1225,0.02719,2025-02-03T01:00:00.000000000Z,1,2025-02-03T01:01:00.000000Z
TOKEN/USD,0.02724,0.02724,0.02724,0.02724,1,506.27497,0.02724,2025-02-03T00:59:00.000000000Z,1,2025-02-03T01:00:00.000000Z
