symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
TON/USDC,4.861,4.861,4.861,4.861,1,148.0792,4.861,2025-02-01T00:19:00.000000000Z,1,2025-02-01T00:20:00.000000Z
TON/USDC,4.854,4.854,4.835,4.835,2,4.1466,4.844,2025-02-01T01:08:00.000000000Z,1,2025-02-01T01:09:00.000000Z
TON/USDC,4.853,4.853,4.853,4.853,1,18.50283,4.853,2025-02-01T01:20:00.000000000Z,1,2025-02-01T01:21:00.000000Z
TON/USDC,4.879,4.88,4.879,4.88,2,61.33343,4.879,2025-02-01T01:28:00.000000000Z,1,2025-02-01T01:29:00.000000Z
TON/USDC,4.883,4.883,4.883,4.883,1,154.12762,4.883,2025-02-01T04:41:00.000000000Z,1,2025-02-01T04:42:00.000000Z
TON/USDC,4.886,4.886,4.886,4.886,1,2.0733,4.886,2025-02-01T05:08:00.000000000Z,1,2025-02-01T05:09:00.000000Z
TON/USDC,4.816,4.816,4.815,4.815,2,335.0,4.815,2025-02-01T10:21:00.000000000Z,1,2025-02-01T10:22:00.000000Z
TON/USDC,4.838,4.838,4.838,4.838,1,20.2849,4.838,2025-02-01T18:07:00.000000000Z,1,2025-02-01T18:08:00.000000Z
TON/USDC,4.791,4.791,4.77,4.77,5,147.48688,4.783,2025-02-01T18:48:00.000000000Z,1,2025-02-01T18:49:00.000000Z
TON/USDC,4.719,4.719,4.719,4.719,1,2.12237,4.719,2025-02-01T20:23:00.000000000Z,1,2025-02-01T20:24:00.000000Z
