symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
TON/USD,4.731,4.731,4.726,4.726,4,11.86695,4.729,2025-02-01T20:20:00.000000000Z,1,2025-02-01T20:21:00.000000Z
TON/USD,4.722,4.722,4.722,4.722,1,1.0,4.722,2025-02-01T20:23:00.000000000Z,1,2025-02-01T20:24:00.000000Z
TON/USD,4.729,4.729,4.729,4.729,6,21.14612,4.729,2025-02-01T20:27:00.000000000Z,1,2025-02-01T20:28:00.000000Z
TON/USD,4.732,4.732,4.732,4.732,1,1.96018,4.732,2025-02-01T20:28:00.000000000Z,1,2025-02-01T20:29:00.000000Z
TON/USD,4.728,4.728,4.728,4.728,1,3.9061,4.728,2025-02-01T20:29:00.000000000Z,1,2025-02-01T20:30:00.000000Z
TON/USD,4.719,4.719,4.719,4.719,1,8.0763,4.719,2025-02-01T20:31:00.000000000Z,1,2025-02-01T20:32:00.000000Z
TON/USD,4.719,4.723,4.718,4.723,3,175.92031,4.718,2025-02-01T20:33:00.000000000Z,1,2025-02-01T20:34:00.000000Z
TON/USD,4.725,4.725,4.725,4.725,1,21.16402,4.725,2025-02-01T20:35:00.000000000Z,1,2025-02-01T20:36:00.000000Z
TON/USD,4.717,4.717,4.711,4.711,2,22.60124,4.711,2025-02-01T20:36:00.000000000Z,1,2025-02-01T20:37:00.000000Z
TON/USD,4.71,4.71,4.71,4.71,2,21.44798,4.71,2025-02-01T20:37:00.000000000Z,1,2025-02-01T20:38:00.000000Z
