symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
TRAC/EUR,0.5595,0.5616,0.5593,0.5593,7,1257.0941,0.5597,2025-02-01T16:56:00.000000000Z,1,2025-02-01T16:57:00.000000Z
TRAC/EUR,0.5647,0.5661,0.5647,0.5661,3,1768.58539,0.5654,2025-02-01T17:22:00.000000000Z,1,2025-02-01T17:23:00.000000Z
TRAC/EUR,0.5632,0.5632,0.5632,0.5632,1,333.30452,0.5632,2025-02-01T17:36:00.000000000Z,1,2025-02-01T17:37:00.000000Z
TRAC/EUR,0.5631,0.5631,0.5631,0.5631,1,18.11178,0.5631,2025-02-01T17:49:00.000000000Z,1,2025-02-01T17:50:00.000000Z
TRAC/EUR,0.5646,0.5662,0.5646,0.5662,3,1768.57514,0.5654,2025-02-01T17:59:00.000000000Z,1,2025-02-01T18:00:00.000000Z
TRAC/EUR,0.5623,0.5623,0.5623,0.5623,1,330.29407,0.5623,2025-02-01T19:23:00.000000000Z,1,2025-02-01T19:24:00.000000Z
TRAC/EUR,0.5622,0.5622,0.5622,0.5622,1,25.37814,0.5622,2025-02-01T19:52:00.000000000Z,1,2025-02-01T19:53:00.000000Z
TRAC/EUR,0.5564,0.5564,0.5527,0.5527,13,5907.41595,0.5548,2025-02-01T20:13:00.000000000Z,1,2025-02-01T20:14:00.000000Z
TRAC/EUR,0.5525,0.5525,0.5525,0.5525,1,40.0,0.5525,2025-02-01T20:27:00.000000000Z,1,2025-02-01T20:28:00.000000Z
TRAC/EUR,0.5519,0.5519,0.5519,0.5519,1,9.18754,0.5519,2025-02-01T20:34:00.000000000Z,1,2025-02-01T20:35:00.000000Z
