symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
TRUMP/USDT,17.274,17.298,17.274,17.298,2,68.15967,17.297,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TRUMP/USDT,17.274,17.274,17.274,17.274,1,1.26572,17.274,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
TRUMP/USDT,17.613,17.613,17.451,17.451,7,262.90674,17.569,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
TRUMP/USDT,17.613,17.613,17.451,17.451,6,262.27338,17.57,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
TRUMP/USDT,17.613,17.613,17.511,17.511,5,261.64102,17.57,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
TRUMP/USDT,17.613,17.613,17.53,17.539,4,261.00824,17.57,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
TRUMP/USDT,17.613,17.613,17.53,17.53,3,194.11429,17.581,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
TRUMP/USDT,17.613,17.613,17.605,17.605,2,127.22034,17.608,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
TRUMP/USDT,17.613,17.613,17.613,17.613,1,60.32639,17.613,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
TRUMP/USDT,17.384,17.739,17.384,17.739,6,218.9259,17.439,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
TRUMP/USDT,17.384,17.671,17.384,17.671,5,208.93905,17.425,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
TRUMP/USDT,17.384,17.659,17.384,17.659,4,202.61043,17.417,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
TRUMP/USDT,17.384,17.476,17.384,17.476,3,201.9079,17.416,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
TRUMP/USDT,17.384,17.391,17.384,17.391,2,135.01395,17.387,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
TRUMP/USDT,17.384,17.384,17.384,17.384,1,66.89395,17.384,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
TRUMP/USDT,17.444,17.54,17.412,17.482,14,601.7629,17.493,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
TRUMP/USDT,17.444,17.54,17.412,17.488,13,534.86895,17.494,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
TRUMP/USDT,17.444,17.54,17.412,17.488,12,526.62162,17.494,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
TRUMP/USDT,17.444,17.54,17.412,17.488,11,498.02162,17.494,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
TRUMP/USDT,17.444,17.54,17.412,17.488,10,472.51716,17.495,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
TRUMP/USDT,17.444,17.54,17.412,17.502,9,466.79895,17.495,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
TRUMP/USDT,17.444,17.54,17.412,17.412,8,399.905,17.494,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
TRUMP/USDT,17.444,17.54,17.444,17.534,5,334.46975,17.503,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
TRUMP/USDT,17.444,17.54,17.444,17.54,4,267.5758,17.495,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
TRUMP/USDT,17.444,17.539,17.444,17.539,3,200.68185,17.481,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
TRUMP/USDT,17.444,17.46,17.444,17.46,2,133.7879,17.452,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
TRUMP/USDT,17.444,17.444,17.444,17.444,1,66.89395,17.444,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
TRUMP/USDT,17.601,17.601,17.507,17.507,7,169.90546,17.538,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
TRUMP/USDT,17.601,17.601,17.507,17.507,6,138.41365,17.545,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
TRUMP/USDT,17.601,17.601,17.538,17.538,5,103.01151,17.559,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
TRUMP/USDT,17.601,17.601,17.559,17.559,4,36.11756,17.598,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
TRUMP/USDT,17.601,17.601,17.572,17.572,3,34.97854,17.6,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
TRUMP/USDT,17.601,17.601,17.601,17.601,1,33.82984,17.601,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
TRUMP/USDT,17.137,17.415,16.982,17.415,40,1331.53891,17.224,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
TRUMP/USDT,17.137,17.415,16.982,17.415,39,1323.99341,17.223,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
