symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
TRU/EUR,0.03941,0.03941,0.03894,0.03896,4,9354.29185437,0.03937,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
TRU/EUR,0.03941,0.03941,0.03894,0.03896,3,9299.73900437,0.03938,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
TRU/EUR,0.03941,0.03941,0.03894,0.03894,2,9081.52760437,0.03939,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
TRU/EUR,0.03941,0.03941,0.03941,0.03941,1,8723.80457999,0.03941,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
TRU/EUR,0.0411,0.0411,0.04,0.04038,10,87118.82307017,0.04037,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
TRU/EUR,0.0411,0.0411,0.04,0.04,8,69495.29569371,0.04037,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
TRU/EUR,0.0411,0.0411,0.04039,0.0404,5,57725.40935847,0.04044,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
TRU/EUR,0.0411,0.0411,0.04039,0.04039,4,52851.11191786,0.04044,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
TRU/EUR,0.0411,0.0411,0.0404,0.0404,2,4108.13751174,0.04108,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
TRU/EUR,0.0411,0.0411,0.0411,0.0411,1,4007.33238175,0.0411,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
TRU/EUR,0.04324,0.04324,0.04312,0.04312,4,2734.3558,0.04313,2025-02-03T01:45:00.000000000Z,1,2025-02-03T01:46:00.000000Z
TRU/EUR,0.04358,0.04359,0.04358,0.04359,2,1376.73363425,0.04358,2025-02-03T01:37:00.000000000Z,1,2025-02-03T01:38:00.000000Z
TRU/EUR,0.04511,0.04511,0.04511,0.04511,1,106.88,0.04511,2025-02-03T00:31:00.000000000Z,1,2025-02-03T00:32:00.000000Z
TRU/EUR,0.04613,0.04613,0.04613,0.04613,1,3251.68003468,0.04613,2025-02-03T00:07:00.000000000Z,1,2025-02-03T00:08:00.000000Z
TRU/EUR,0.04612,0.04612,0.04612,0.04612,1,1630.30572419,0.04612,2025-02-02T23:32:00.000000000Z,1,2025-02-02T23:33:00.000000Z
TRU/EUR,0.0455,0.0455,0.0455,0.0455,1,1000.0,0.0455,2025-02-02T22:43:00.000000000Z,1,2025-02-02T22:44:00.000000Z
TRU/EUR,0.04427,0.04427,0.04426,0.04426,3,1804.92571074,0.04426,2025-02-02T22:41:00.000000000Z,1,2025-02-02T22:42:00.000000Z
TRU/EUR,0.04675,0.04675,0.04675,0.04675,1,1497.3262032,0.04675,2025-02-02T22:39:00.000000000Z,1,2025-02-02T22:40:00.000000Z
TRU/EUR,0.04717,0.04717,0.04717,0.04717,1,3223.02310791,0.04717,2025-02-02T22:32:00.000000000Z,1,2025-02-02T22:33:00.000000Z
