symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
TRU/USD,0.06268,0.06268,0.06268,0.06268,1,1136.70759017,0.06268,2025-02-01T17:11:00.000000000Z,1,2025-02-01T17:12:00.000000Z
TRU/USD,0.06237,0.06237,0.06236,0.06236,2,3145.38,0.06236,2025-02-01T18:03:00.000000000Z,1,2025-02-01T18:04:00.000000Z
TRU/USD,0.06248,0.06248,0.06248,0.06248,1,4577.26,0.06248,2025-02-01T18:29:00.000000000Z,1,2025-02-01T18:30:00.000000Z
TRU/USD,0.06116,0.06116,0.06116,0.06116,1,43.56959102,0.06116,2025-02-01T19:52:00.000000000Z,1,2025-02-01T19:53:00.000000Z
TRU/USD,0.06068,0.06068,0.06068,0.06068,1,363.954,0.06068,2025-02-01T20:04:00.000000000Z,1,2025-02-01T20:05:00.000000Z
TRU/USD,0.06064,0.06064,0.06064,0.06064,1,321.54777086,0.06064,2025-02-01T20:06:00.000000000Z,1,2025-02-01T20:07:00.000000Z
TRU/USD,0.06054,0.06054,0.06054,0.06054,1,148.61018849,0.06054,2025-02-01T20:14:00.000000000Z,1,2025-02-01T20:15:00.000000Z
TRU/USD,0.0604,0.0604,0.0604,0.0604,1,360.87962757,0.0604,2025-02-01T20:20:00.000000000Z,1,2025-02-01T20:21:00.000000Z
TRU/USD,0.06024,0.06024,0.06024,0.06024,1,9960.1593,0.06024,2025-02-01T20:29:00.000000000Z,1,2025-02-01T20:30:00.000000Z
TRU/USD,0.06004,0.06004,0.06004,0.06004,1,297.7299,0.06004,2025-02-01T20:35:00.000000000Z,1,2025-02-01T20:36:00.000000Z
