symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
TURBO/USD,0.004957,0.004957,0.00495,0.00495,2,101653.1358851,0.004953,2025-02-01T20:20:00.000000000Z,1,2025-02-01T20:21:00.000000Z
TURBO/USD,0.004941,0.004942,0.004941,0.004942,2,5031.19339907,0.004941,2025-02-01T20:24:00.000000000Z,1,2025-02-01T20:25:00.000000Z
TURBO/USD,0.004931,0.004931,0.004931,0.004931,1,1660.0,0.004931,2025-02-01T20:26:00.000000000Z,1,2025-02-01T20:27:00.000000Z
TURBO/USD,0.004957,0.004957,0.004957,0.004957,2,70146.06746765,0.004957,2025-02-01T20:27:00.000000000Z,1,2025-02-01T20:28:00.000000Z
TURBO/USD,0.004952,0.004952,0.004948,0.004948,2,5289.4,0.004948,2025-02-01T20:28:00.000000000Z,1,2025-02-01T20:29:00.000000Z
TURBO/USD,0.004958,0.00496,0.004958,0.00496,3,97751.6,0.004959,2025-02-01T20:29:00.000000000Z,1,2025-02-01T20:30:00.000000Z
TURBO/USD,0.004944,0.004944,0.004944,0.004944,1,57348.38955637,0.004944,2025-02-01T20:31:00.000000000Z,1,2025-02-01T20:32:00.000000Z
TURBO/USD,0.004932,0.004932,0.004932,0.004932,2,28674.19477819,0.004932,2025-02-01T20:32:00.000000000Z,1,2025-02-01T20:33:00.000000Z
TURBO/USD,0.004944,0.004944,0.004944,0.004944,1,65286.64798982,0.004944,2025-02-01T20:33:00.000000000Z,1,2025-02-01T20:34:00.000000Z
TURBO/USD,0.004938,0.004938,0.004938,0.004938,3,46980.421384,0.004938,2025-02-01T20:36:00.000000000Z,1,2025-02-01T20:37:00.000000Z
