symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
TVK/USD,0.04079,0.04079,0.04079,0.04079,1,100.98275375,0.04079,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
TVK/USD,0.04038,0.04038,0.04,0.04,3,145.0,0.04023,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
TVK/USD,0.04357,0.04358,0.04082,0.04082,11,10744.98212448,0.04165,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
TVK/USD,0.04357,0.04358,0.04106,0.04106,10,9968.5195365,0.04171,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
TVK/USD,0.04357,0.04358,0.04106,0.04108,9,8326.1377077,0.04184,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
TVK/USD,0.04357,0.04358,0.04106,0.04106,8,5412.88046376,0.04226,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
TVK/USD,0.04357,0.04358,0.04188,0.04188,6,3117.88046376,0.04314,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
TVK/USD,0.04357,0.04358,0.04188,0.04188,5,2913.88046376,0.04323,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
TVK/USD,0.04357,0.04358,0.04188,0.04188,4,2724.88046376,0.04332,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
TVK/USD,0.04357,0.04358,0.04297,0.04297,3,2361.88046376,0.04355,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
TVK/USD,0.04357,0.04358,0.04357,0.04358,2,2260.89771,0.04357,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
TVK/USD,0.04554,0.04554,0.04297,0.04297,25,21989.99334501,0.04442,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
TVK/USD,0.04554,0.04554,0.04297,0.04297,24,21864.23334501,0.04443,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
TVK/USD,0.04554,0.04554,0.04297,0.04297,23,21654.94334501,0.04444,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
TVK/USD,0.04554,0.04554,0.04327,0.04327,21,21252.45334501,0.04447,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
TVK/USD,0.04554,0.04554,0.04327,0.04327,20,21126.69334501,0.04448,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
