symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
UMA/USD,2.245,2.245,2.245,2.245,1,6.23608018,2.245,2025-02-01T16:11:00.000000000Z,1,2025-02-01T16:12:00.000000Z
UMA/USD,2.235,2.235,2.235,2.235,1,4.79511769,2.235,2025-02-01T16:15:00.000000000Z,1,2025-02-01T16:16:00.000000Z
UMA/USD,2.229,2.229,2.229,2.229,1,4.76190476,2.229,2025-02-01T16:48:00.000000000Z,1,2025-02-01T16:49:00.000000Z
UMA/USD,2.227,2.228,2.227,2.228,3,360.0,2.227,2025-02-01T17:31:00.000000000Z,1,2025-02-01T17:32:00.000000Z
UMA/USD,2.222,2.222,2.222,2.222,1,3.01562641,2.222,2025-02-01T18:31:00.000000000Z,1,2025-02-01T18:32:00.000000Z
UMA/USD,2.205,2.205,2.205,2.205,1,19.59183674,2.205,2025-02-01T18:48:00.000000000Z,1,2025-02-01T18:49:00.000000Z
UMA/USD,2.189,2.189,2.189,2.189,2,157.543,2.189,2025-02-01T19:12:00.000000000Z,1,2025-02-01T19:13:00.000000Z
UMA/USD,2.176,2.176,2.176,2.176,1,23.82352942,2.176,2025-02-01T19:30:00.000000000Z,1,2025-02-01T19:31:00.000000Z
UMA/USD,2.148,2.148,2.148,2.148,1,28.96089386,2.148,2025-02-01T20:01:00.000000000Z,1,2025-02-01T20:02:00.000000Z
UMA/USD,2.132,2.132,2.132,2.132,1,5.0,2.132,2025-02-01T20:13:00.000000000Z,1,2025-02-01T20:14:00.000000Z
