symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
UNFI/EUR,0.302,0.302,0.302,0.302,1,19.1,0.302,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
UNFI/EUR,0.303,0.303,0.302,0.302,6,135.40527412,0.302,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
UNFI/EUR,0.303,0.303,0.302,0.302,5,134.04907055,0.302,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
UNFI/EUR,0.303,0.303,0.302,0.302,4,111.59509582,0.302,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
UNFI/EUR,0.303,0.303,0.303,0.303,2,67.59509582,0.303,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
UNFI/EUR,0.303,0.303,0.303,0.303,1,33.77070529,0.303,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
UNFI/EUR,0.3,0.302,0.299,0.302,5,417.52582781,0.301,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
UNFI/EUR,0.3,0.3,0.299,0.299,4,86.4,0.299,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
UNFI/EUR,0.3,0.3,0.3,0.3,3,60.0,0.3,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
UNFI/EUR,0.3,0.3,0.3,0.3,2,57.6,0.3,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
UNFI/EUR,0.3,0.3,0.3,0.3,1,28.8,0.3,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
UNFI/EUR,0.308,0.308,0.304,0.304,10,334.62938575,0.305,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
UNFI/EUR,0.308,0.308,0.304,0.304,9,300.92674918,0.306,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
UNFI/EUR,0.308,0.308,0.305,0.305,8,267.27760461,0.306,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
UNFI/EUR,0.308,0.308,0.305,0.305,7,233.68186713,0.306,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
UNFI/EUR,0.308,0.308,0.306,0.306,6,200.13945198,0.306,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
UNFI/EUR,0.308,0.308,0.306,0.306,5,166.65027453,0.307,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
UNFI/EUR,0.308,0.308,0.307,0.307,4,133.21425028,0.307,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
UNFI/EUR,0.308,0.308,0.307,0.307,3,99.83129486,0.307,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
UNFI/EUR,0.308,0.308,0.308,0.308,2,66.50132405,0.308,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
UNFI/EUR,0.308,0.308,0.308,0.308,1,33.22425375,0.308,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
UNFI/EUR,0.313,0.313,0.303,0.303,19,624.88357233,0.307,2025-02-03T01:53:00.000000000Z,1,2025-02-03T01:54:00.000000Z
UNFI/EUR,0.313,0.319,0.31,0.314,20,744.49368606,0.313,2025-02-03T01:52:00.000000000Z,1,2025-02-03T01:53:00.000000Z
UNFI/EUR,0.314,0.314,0.313,0.313,2,209.0,0.313,2025-02-03T01:51:00.000000000Z,1,2025-02-03T01:52:00.000000Z
UNFI/EUR,0.326,0.326,0.319,0.319,20,713.86608892,0.32,2025-02-03T01:50:00.000000000Z,1,2025-02-03T01:51:00.000000Z
UNFI/EUR,0.334,0.334,0.334,0.334,1,5.76826,0.334,2025-02-03T01:42:00.000000000Z,1,2025-02-03T01:43:00.000000Z
UNFI/EUR,0.326,0.326,0.326,0.326,1,10.14033,0.326,2025-02-03T01:37:00.000000000Z,1,2025-02-03T01:38:00.000000Z
UNFI/EUR,0.335,0.335,0.335,0.335,1,57.6826,0.335,2025-02-03T01:11:00.000000000Z,1,2025-02-03T01:12:00.000000Z
UNFI/EUR,0.332,0.332,0.327,0.327,9,306.78422427,0.329,2025-02-03T00:42:00.000000000Z,1,2025-02-03T00:43:00.000000Z
UNFI/EUR,0.333,0.333,0.333,0.333,1,28.97514127,0.333,2025-02-03T00:41:00.000000000Z,1,2025-02-03T00:42:00.000000Z
UNFI/EUR,0.333,0.333,0.333,0.333,1,1.80042717,0.333,2025-02-03T00:34:00.000000000Z,1,2025-02-03T00:35:00.000000Z
