symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
UNFI/USD,0.312,0.312,0.312,0.312,4,249.6496449,0.312,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
UNFI/USD,0.312,0.312,0.312,0.312,3,189.21946389,0.312,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
UNFI/USD,0.312,0.312,0.312,0.312,2,126.14630926,0.312,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
UNFI/USD,0.312,0.312,0.312,0.312,1,63.07315463,0.312,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
UNFI/USD,0.309,0.31,0.309,0.31,10,875.97771479,0.309,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
UNFI/USD,0.309,0.31,0.309,0.31,9,816.97771479,0.309,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
UNFI/USD,0.309,0.31,0.309,0.31,8,771.97771479,0.309,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
UNFI/USD,0.309,0.309,0.309,0.309,7,716.97771479,0.309,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
UNFI/USD,0.309,0.309,0.309,0.309,6,627.88436747,0.309,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
UNFI/USD,0.309,0.309,0.309,0.309,5,537.16802705,0.309,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
UNFI/USD,0.309,0.309,0.309,0.309,4,442.97523999,0.309,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
UNFI/USD,0.309,0.309,0.309,0.309,3,344.0328134,0.309,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
UNFI/USD,0.309,0.309,0.309,0.309,2,234.59276506,0.309,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
UNFI/USD,0.309,0.309,0.309,0.309,1,120.16521193,0.309,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
UNFI/USD,0.301,0.308,0.301,0.308,26,2463.21731289,0.304,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
UNFI/USD,0.301,0.308,0.301,0.308,24,2420.21731289,0.304,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
UNFI/USD,0.301,0.306,0.301,0.306,23,2376.21731289,0.304,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
UNFI/USD,0.301,0.306,0.301,0.306,22,2342.39292236,0.304,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
UNFI/USD,0.301,0.306,0.301,0.305,21,2308.56853183,0.304,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
UNFI/USD,0.301,0.306,0.301,0.305,20,2284.70876932,0.304,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
UNFI/USD,0.301,0.306,0.301,0.305,19,2250.93806403,0.304,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
UNFI/USD,0.301,0.306,0.301,0.305,18,2167.20886628,0.304,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
UNFI/USD,0.301,0.306,0.301,0.305,17,2082.21909863,0.304,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
UNFI/USD,0.301,0.306,0.301,0.303,16,1996.28478902,0.304,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
UNFI/USD,0.301,0.306,0.301,0.305,15,1703.00868902,0.305,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
UNFI/USD,0.301,0.306,0.301,0.305,14,1617.79860853,0.305,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
UNFI/USD,0.301,0.306,0.301,0.305,13,1524.95751531,0.305,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
UNFI/USD,0.301,0.306,0.301,0.305,12,1430.65599341,0.305,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
UNFI/USD,0.301,0.306,0.301,0.305,11,1328.61139001,0.305,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
UNFI/USD,0.301,0.306,0.301,0.305,10,1221.55515634,0.305,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
UNFI/USD,0.301,0.306,0.301,0.305,9,1106.90198573,0.305,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
UNFI/USD,0.301,0.306,0.301,0.305,8,984.34796558,0.305,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
UNFI/USD,0.301,0.306,0.301,0.305,7,854.1059114,0.305,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
UNFI/USD,0.301,0.306,0.301,0.305,6,695.28739531,0.305,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
UNFI/USD,0.301,0.306,0.301,0.306,5,536.46495003,0.305,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
UNFI/USD,0.301,0.305,0.301,0.305,4,405.40887536,0.304,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
UNFI/USD,0.301,0.305,0.301,0.305,3,321.37854366,0.304,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
UNFI/USD,0.301,0.305,0.301,0.305,2,170.73999565,0.304,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
UNFI/USD,0.301,0.301,0.301,0.301,1,2.98646653,0.301,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
UNFI/USD,0.306,0.306,0.305,0.305,6,419.3018278,0.305,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
UNFI/USD,0.306,0.306,0.305,0.305,5,88.17599999,0.305,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
UNFI/USD,0.306,0.306,0.306,0.306,3,59.37599999,0.306,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
UNFI/USD,0.306,0.306,0.306,0.306,2,57.6,0.306,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
UNFI/USD,0.306,0.306,0.306,0.306,1,28.8,0.306,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
