symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
UNI/ETH,0.00351,0.00351,0.00351,0.00351,1,236.9031339,0.00351,2025-02-01T11:01:00.000000000Z,1,2025-02-01T11:02:00.000000Z
UNI/ETH,0.00351,0.00351,0.00349,0.00349,4,121.99962002,0.00349,2025-02-01T11:26:00.000000000Z,1,2025-02-01T11:27:00.000000Z
UNI/ETH,0.00351,0.00351,0.00351,0.00351,2,40.15669515,0.00351,2025-02-01T14:21:00.000000000Z,1,2025-02-01T14:22:00.000000Z
UNI/ETH,0.00352,0.00352,0.00352,0.00352,1,0.14618,0.00352,2025-02-01T15:12:00.000000000Z,1,2025-02-01T15:13:00.000000Z
UNI/ETH,0.0035,0.0035,0.0035,0.0035,1,1.03182,0.0035,2025-02-01T15:21:00.000000000Z,1,2025-02-01T15:22:00.000000Z
UNI/ETH,0.00352,0.00352,0.00352,0.00352,1,20.75344134,0.00352,2025-02-01T16:01:00.000000000Z,1,2025-02-01T16:02:00.000000Z
UNI/ETH,0.00352,0.00352,0.00352,0.00352,1,20.75344318,0.00352,2025-02-01T19:04:00.000000000Z,1,2025-02-01T19:05:00.000000Z
UNI/ETH,0.00352,0.00352,0.00352,0.00352,1,20.75344318,0.00352,2025-02-01T19:38:00.000000000Z,1,2025-02-01T19:39:00.000000Z
UNI/ETH,0.00351,0.00351,0.00351,0.00351,1,24.17071,0.00351,2025-02-01T19:47:00.000000000Z,1,2025-02-01T19:48:00.000000Z
UNI/ETH,0.00352,0.00352,0.00352,0.00352,1,20.75344318,0.00352,2025-02-01T19:52:00.000000000Z,1,2025-02-01T19:53:00.000000Z
