symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
USDC/EUR,0.9777,0.9778,0.9775,0.9776,13,4429.45315288,0.9777,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
USDC/EUR,0.9777,0.9778,0.9775,0.9778,12,4395.04009914,0.9777,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
USDC/EUR,0.9777,0.9778,0.9775,0.9778,11,3866.94329914,0.9777,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
USDC/EUR,0.9777,0.9778,0.9775,0.9776,10,3825.17468216,0.9777,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
USDC/EUR,0.9777,0.9778,0.9775,0.9778,9,3741.07588216,0.9777,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
USDC/EUR,0.9777,0.9777,0.9775,0.9775,7,1240.46476481,0.9776,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
USDC/EUR,0.9777,0.9777,0.9775,0.9776,6,1232.33367167,0.9776,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
USDC/EUR,0.9777,0.9777,0.9775,0.9776,5,1214.46977167,0.9776,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
USDC/EUR,0.9777,0.9777,0.9775,0.9776,4,713.9636994,0.9776,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
USDC/EUR,0.9777,0.9777,0.9775,0.9775,3,681.94835414,0.9776,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
USDC/EUR,0.9777,0.9777,0.9777,0.9777,2,649.91909583,0.9777,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
USDC/EUR,0.9777,0.9777,0.9777,0.9777,1,407.84412396,0.9777,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
USDC/EUR,0.9775,0.9777,0.9773,0.9775,50,15482.40637886,0.9775,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
USDC/EUR,0.9775,0.9777,0.9773,0.9775,49,14766.44113783,0.9775,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
USDC/EUR,0.9775,0.9777,0.9773,0.9775,48,14477.2348396,0.9775,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
USDC/EUR,0.9775,0.9777,0.9773,0.9773,47,14221.50593678,0.9775,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
USDC/EUR,0.9775,0.9777,0.9774,0.9776,42,10454.5958435,0.9775,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
USDC/EUR,0.9775,0.9777,0.9774,0.9776,41,10354.40443327,0.9775,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
USDC/EUR,0.9775,0.9777,0.9774,0.9776,40,10254.24283209,0.9775,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
USDC/EUR,0.9775,0.9777,0.9774,0.9775,39,7742.13755817,0.9775,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
USDC/EUR,0.9775,0.9777,0.9774,0.9775,38,7643.04360664,0.9775,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
USDC/EUR,0.9775,0.9777,0.9774,0.9776,37,7578.90306418,0.9775,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
USDC/EUR,0.9775,0.9777,0.9774,0.9776,36,7571.23198186,0.9775,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
USDC/EUR,0.9775,0.9777,0.9774,0.9776,35,7489.97307715,0.9775,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
