symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
USDG/USDC,0.9997,0.9997,0.9997,0.9997,1,2067.9559,0.9997,2025-02-01T15:19:00.000000000Z,1,2025-02-01T15:20:00.000000Z
USDG/USDC,0.9998,0.9998,0.9997,0.9997,2,321.8626,0.9997,2025-02-01T15:13:00.000000000Z,1,2025-02-01T15:14:00.000000Z
USDG/USDC,1.0002,1.0002,1.0002,1.0002,1,6.2005,1.0002,2025-02-01T15:01:00.000000000Z,1,2025-02-01T15:02:00.000000Z
USDG/USDC,0.9997,0.9997,0.9997,0.9997,1,60.0,0.9997,2025-02-01T12:28:00.000000000Z,1,2025-02-01T12:29:00.000000Z
USDG/USDC,0.9997,0.9997,0.9997,0.9997,1,106.9,0.9997,2025-01-31T21:50:00.000000000Z,1,2025-01-31T21:51:00.000000Z
USDG/USDC,0.996,0.996,0.996,0.996,1,5.0,0.996,2025-01-31T14:25:00.000000000Z,1,2025-01-31T14:26:00.000000Z
USDG/USDC,1.0002,1.0002,1.0002,1.0002,1,4.9544,1.0002,2025-01-31T10:50:00.000000000Z,1,2025-01-31T10:51:00.000000Z
USDG/USDC,0.9998,0.9998,0.9997,0.9997,2,82.86781,0.9997,2025-01-31T07:32:00.000000000Z,1,2025-01-31T07:33:00.000000Z
USDG/USDC,1.0002,1.0002,1.0002,1.0002,1,6.89,1.0002,2025-01-31T06:35:00.000000000Z,1,2025-01-31T06:36:00.000000Z
USDG/USDC,0.9997,0.9997,0.9997,0.9997,1,6.39,0.9997,2025-01-31T05:07:00.000000000Z,1,2025-01-31T05:08:00.000000Z
