symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
USDQ/USDC,1.0,1.0,1.0,1.0,2,352.8306,1.0,2025-02-01T23:12:00.000000000Z,1,2025-02-01T23:13:00.000000Z
USDQ/USDC,1.0,1.0,1.0,1.0,1,88.41236,1.0,2025-02-01T22:53:00.000000000Z,1,2025-02-01T22:54:00.000000Z
USDQ/USDC,0.992,1.0,0.992,1.0,4,1316.92637,0.998,2025-02-01T22:52:00.000000000Z,1,2025-02-01T22:53:00.000000Z
USDQ/USDC,1.0,1.0,1.0,1.0,1,1446.7308,1.0,2025-02-01T22:33:00.000000000Z,1,2025-02-01T22:34:00.000000Z
USDQ/USDC,1.0,1.0,1.0,1.0,1,216.1781,1.0,2025-02-01T22:26:00.000000000Z,1,2025-02-01T22:27:00.000000Z
USDQ/USDC,0.9901,0.9901,0.9901,0.9901,1,1129.65256,0.9901,2025-02-01T22:22:00.000000000Z,1,2025-02-01T22:23:00.000000Z
USDQ/USDC,1.0,1.0,1.0,1.0,1,111.0,1.0,2025-02-01T22:19:00.000000000Z,1,2025-02-01T22:20:00.000000Z
USDQ/USDC,1.0014,1.0015,1.0014,1.0015,2,7769.32037,1.0014,2025-02-01T22:13:00.000000000Z,1,2025-02-01T22:14:00.000000Z
USDQ/USDC,1.0014,1.0014,1.0014,1.0014,1,59.48105,1.0014,2025-02-01T22:11:00.000000000Z,1,2025-02-01T22:12:00.000000Z
USDQ/USDC,1.0014,1.0014,1.0014,1.0014,1,3222.47101,1.0014,2025-02-01T22:10:00.000000000Z,1,2025-02-01T22:11:00.000000Z
