symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
USDT/CHF,0.91264,0.91264,0.91257,0.91264,6,4206.18590924,0.9126,2025-02-01T20:28:00.000000000Z,1,2025-02-01T20:29:00.000000Z
USDT/CHF,0.91264,0.91265,0.9126,0.91265,4,1172.15800699,0.91263,2025-02-01T20:29:00.000000000Z,1,2025-02-01T20:30:00.000000Z
USDT/CHF,0.91265,0.91265,0.91261,0.91265,8,1366.95243997,0.91264,2025-02-01T20:30:00.000000000Z,1,2025-02-01T20:31:00.000000Z
USDT/CHF,0.9126,0.91265,0.91259,0.91261,5,3041.11733428,0.91261,2025-02-01T20:31:00.000000000Z,1,2025-02-01T20:32:00.000000Z
USDT/CHF,0.91265,0.91277,0.91265,0.91277,7,3310.01258164,0.91265,2025-02-01T20:32:00.000000000Z,1,2025-02-01T20:33:00.000000Z
USDT/CHF,0.91266,0.91281,0.91262,0.91265,7,8394.47719676,0.91265,2025-02-01T20:33:00.000000000Z,1,2025-02-01T20:34:00.000000Z
USDT/CHF,0.91286,0.91286,0.91266,0.91286,5,655.24235543,0.9128,2025-02-01T20:34:00.000000000Z,1,2025-02-01T20:35:00.000000Z
USDT/CHF,0.91284,0.91284,0.91284,0.91284,2,230.04968916,0.91284,2025-02-01T20:35:00.000000000Z,1,2025-02-01T20:36:00.000000Z
USDT/CHF,0.91286,0.91286,0.91265,0.91284,5,218.43747689,0.91285,2025-02-01T20:36:00.000000000Z,1,2025-02-01T20:37:00.000000Z
USDT/CHF,0.91283,0.91284,0.91283,0.91284,5,109.53732944,0.91283,2025-02-01T20:37:00.000000000Z,1,2025-02-01T20:38:00.000000Z
