symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
USDT/EUR,0.9658,0.966,0.9658,0.9659,39,3281.24882839,0.9659,2025-02-01T20:28:00.000000000Z,1,2025-02-01T20:29:00.000000Z
USDT/EUR,0.9659,0.966,0.9659,0.9659,39,4550.30067451,0.9659,2025-02-01T20:29:00.000000000Z,1,2025-02-01T20:30:00.000000Z
USDT/EUR,0.9659,0.966,0.9659,0.9659,48,5487.37459757,0.9659,2025-02-01T20:30:00.000000000Z,1,2025-02-01T20:31:00.000000Z
USDT/EUR,0.9659,0.966,0.9659,0.9659,41,4384.40074549,0.9659,2025-02-01T20:31:00.000000000Z,1,2025-02-01T20:32:00.000000Z
USDT/EUR,0.9659,0.9661,0.9659,0.9661,76,24695.71363222,0.9659,2025-02-01T20:32:00.000000000Z,1,2025-02-01T20:33:00.000000Z
USDT/EUR,0.9661,0.9661,0.966,0.9661,45,5672.49006379,0.966,2025-02-01T20:33:00.000000000Z,1,2025-02-01T20:34:00.000000Z
USDT/EUR,0.9661,0.9661,0.966,0.966,37,31276.06407567,0.966,2025-02-01T20:34:00.000000000Z,1,2025-02-01T20:35:00.000000Z
USDT/EUR,0.966,0.9661,0.966,0.966,51,5124.93354368,0.966,2025-02-01T20:35:00.000000000Z,1,2025-02-01T20:36:00.000000Z
USDT/EUR,0.966,0.9661,0.9659,0.966,67,71873.37020422,0.966,2025-02-01T20:36:00.000000000Z,1,2025-02-01T20:37:00.000000Z
USDT/EUR,0.966,0.9662,0.966,0.9661,49,6095.71741845,0.9661,2025-02-01T20:37:00.000000000Z,1,2025-02-01T20:38:00.000000Z
