symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
UST/EUR,0.01413,0.01413,0.01413,0.01413,1,4800.20805372,0.01413,2025-02-01T15:03:00.000000000Z,1,2025-02-01T15:04:00.000000Z
UST/EUR,0.01414,0.01414,0.01414,0.01414,1,4800.20805372,0.01414,2025-02-01T15:08:00.000000000Z,1,2025-02-01T15:09:00.000000Z
UST/EUR,0.01413,0.01413,0.01413,0.01413,1,5000.0,0.01413,2025-02-01T15:49:00.000000000Z,1,2025-02-01T15:50:00.000000Z
UST/EUR,0.01423,0.01423,0.01423,0.01423,1,69.23554,0.01423,2025-02-01T16:07:00.000000000Z,1,2025-02-01T16:08:00.000000Z
UST/EUR,0.01418,0.01418,0.01418,0.01418,1,4200.0,0.01418,2025-02-01T16:30:00.000000000Z,1,2025-02-01T16:31:00.000000Z
UST/EUR,0.01409,0.01409,0.01402,0.01409,3,26218.23336047,0.01405,2025-02-01T16:57:00.000000000Z,1,2025-02-01T16:58:00.000000Z
UST/EUR,0.01413,0.01413,0.01413,0.01413,1,497.5,0.01413,2025-02-01T17:24:00.000000000Z,1,2025-02-01T17:25:00.000000Z
UST/EUR,0.01398,0.01398,0.01398,0.01398,1,20791.870709,0.01398,2025-02-01T17:45:00.000000000Z,1,2025-02-01T17:46:00.000000Z
UST/EUR,0.01397,0.01397,0.01397,0.01397,1,691.08500345,0.01397,2025-02-01T18:48:00.000000000Z,1,2025-02-01T18:49:00.000000Z
UST/EUR,0.01362,0.01362,0.01362,0.01362,1,540.9356725,0.01362,2025-02-01T20:09:00.000000000Z,1,2025-02-01T20:10:00.000000Z
