symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
UST/USDT,0.00982,0.01,0.00971,0.01,3,2511.00737568,0.00989,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
UST/USDT,0.00982,0.00982,0.00971,0.00971,2,1398.8,0.00981,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
UST/USDT,0.01052,0.01052,0.00983,0.00983,13,8788.88172922,0.01011,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
UST/USDT,0.01052,0.01052,0.01,0.01,11,6084.27214933,0.01021,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
UST/USDT,0.01052,0.01052,0.01005,0.01005,10,5904.27214933,0.01022,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
UST/USDT,0.01052,0.01052,0.01005,0.01005,9,5847.00572922,0.01022,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
UST/USDT,0.01052,0.01052,0.01023,0.01023,6,3040.95114448,0.01032,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
UST/USDT,0.01052,0.01052,0.01028,0.01028,4,2496.23999999,0.01034,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
UST/USDT,0.01052,0.01052,0.01028,0.01028,3,1321.24,0.01039,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
UST/USDT,0.01102,0.01102,0.01052,0.01052,11,6481.71745238,0.01077,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
UST/USDT,0.01102,0.01102,0.01052,0.01052,10,5928.17944153,0.01079,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
UST/USDT,0.01102,0.01102,0.01065,0.01065,8,5173.74204153,0.01083,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
UST/USDT,0.01102,0.01102,0.01065,0.01065,7,4529.00035659,0.01086,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
UST/USDT,0.01102,0.01102,0.01077,0.01077,5,2949.2324496,0.01093,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
UST/USDT,0.01102,0.01102,0.01089,0.01089,3,1688.1044496,0.01099,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
UST/USDT,0.01102,0.01102,0.01102,0.01102,1,1232.51719542,0.01102,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
UST/USDT,0.01115,0.01115,0.01115,0.01115,2,1218.14703977,0.01115,2025-02-03T01:53:00.000000000Z,1,2025-02-03T01:54:00.000000Z
UST/USDT,0.01128,0.01128,0.01123,0.01123,3,1451.91541298,0.01127,2025-02-03T01:49:00.000000000Z,1,2025-02-03T01:50:00.000000Z
UST/USDT,0.01141,0.01141,0.01141,0.01141,2,1438.1212527,0.01141,2025-02-03T01:47:00.000000000Z,1,2025-02-03T01:48:00.000000Z
UST/USDT,0.01163,0.01163,0.01163,0.01163,1,244.02204042,0.01163,2025-02-03T00:54:00.000000000Z,1,2025-02-03T00:55:00.000000Z
UST/USDT,0.0115,0.01162,0.0115,0.01162,4,5545.16943866,0.01155,2025-02-03T00:49:00.000000000Z,1,2025-02-03T00:50:00.000000Z
UST/USDT,0.01145,0.01145,0.01145,0.01145,1,244.02204042,0.01145,2025-02-03T00:45:00.000000000Z,1,2025-02-03T00:46:00.000000Z
UST/USDT,0.01141,0.01141,0.01141,0.01141,2,1438.12125271,0.01141,2025-02-03T00:44:00.000000000Z,1,2025-02-03T00:45:00.000000Z
UST/USDT,0.01159,0.01159,0.01154,0.01154,4,1424.84827018,0.01154,2025-02-03T00:43:00.000000000Z,1,2025-02-03T00:44:00.000000Z
UST/USDT,0.01168,0.01168,0.01168,0.01168,1,1162.87153198,0.01168,2025-02-03T00:32:00.000000000Z,1,2025-02-03T00:33:00.000000Z
UST/USDT,0.01177,0.01177,0.01177,0.01177,1,247.79524214,0.01177,2025-02-03T00:31:00.000000000Z,1,2025-02-03T00:32:00.000000Z
