symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
WBTC/USD,93765.6,93765.6,93765.6,93765.6,1,0.00010329,93765.6,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
WBTC/USD,93257.5,93257.6,93257.5,93257.6,2,0.00068956,93257.5,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
WBTC/USD,93144.0,93144.1,93144.0,93144.1,2,0.00141728,93144.0,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
WBTC/USD,93144.0,93144.0,93144.0,93144.0,1,0.00016547,93144.0,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
WBTC/USD,92199.4,92199.4,92199.4,92199.4,1,0.00024245,92199.4,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
WBTC/USD,92663.4,92663.4,92199.6,92199.6,3,0.00075043,92513.5,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
WBTC/USD,92663.4,92663.4,92199.6,92199.6,2,0.00067695,92547.6,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
WBTC/USD,92663.4,92663.4,92663.4,92663.4,1,0.00050798,92663.4,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
WBTC/USD,92780.2,92780.2,92663.8,92663.8,7,0.00375496,92714.1,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
WBTC/USD,92780.2,92780.2,92663.9,92663.9,5,0.00187082,92764.7,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
WBTC/USD,92780.2,92780.2,92767.3,92767.3,3,0.00163399,92777.7,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
WBTC/USD,93749.3,93749.9,93749.2,93749.2,3,0.00314733,93749.3,2025-02-03T01:50:00.000000000Z,1,2025-02-03T01:51:00.000000Z
WBTC/USD,93257.6,93257.6,93257.6,93257.6,1,0.00050798,93257.6,2025-02-03T01:48:00.000000000Z,1,2025-02-03T01:49:00.000000Z
WBTC/USD,93851.8,93851.8,93851.8,93851.8,1,0.00050798,93851.8,2025-02-03T01:45:00.000000000Z,1,2025-02-03T01:46:00.000000Z
WBTC/USD,94175.6,94175.6,93879.9,93879.9,2,0.00043181,94107.1,2025-02-03T01:43:00.000000000Z,1,2025-02-03T01:44:00.000000Z
WBTC/USD,94492.8,94492.8,94446.0,94446.0,3,0.00368283,94486.3,2025-02-03T01:42:00.000000000Z,1,2025-02-03T01:43:00.000000Z
WBTC/USD,94561.5,94561.5,94492.9,94492.9,2,0.00238974,94540.7,2025-02-03T01:37:00.000000000Z,1,2025-02-03T01:38:00.000000Z
WBTC/USD,95000.0,95000.0,95000.0,95000.0,12,0.01028948,95000.0,2025-02-03T01:36:00.000000000Z,1,2025-02-03T01:37:00.000000Z
WBTC/USD,95040.3,95040.3,95000.0,95000.0,3,0.0009437,95030.1,2025-02-03T01:35:00.000000000Z,1,2025-02-03T01:36:00.000000Z
WBTC/USD,95166.1,95166.1,95166.0,95166.0,2,0.00169753,95166.0,2025-02-03T01:33:00.000000000Z,1,2025-02-03T01:34:00.000000Z
WBTC/USD,95147.9,95148.3,95147.9,95148.1,8,0.00826506,95148.0,2025-02-03T01:30:00.000000000Z,1,2025-02-03T01:31:00.000000Z
