symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
XCN/USD,0.02058,0.02064,0.02036,0.02041,27,893939.31411145,0.02046,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XCN/USD,0.02058,0.02064,0.02036,0.0204,26,884319.95595369,0.02046,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XCN/USD,0.02058,0.02064,0.02036,0.0206,23,780885.51989593,0.02046,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XCN/USD,0.02058,0.02064,0.02036,0.02036,22,747333.18989593,0.02046,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XCN/USD,0.02058,0.02064,0.02044,0.02044,12,246666.04479593,0.02056,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XCN/USD,0.02058,0.02064,0.02046,0.02061,10,236701.10249593,0.02056,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XCN/USD,0.02058,0.02064,0.02046,0.02046,9,234362.80249593,0.02056,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XCN/USD,0.02058,0.02064,0.02049,0.02064,8,229475.21696319,0.02057,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XCN/USD,0.02058,0.02058,0.02049,0.02049,7,227444.35940506,0.02056,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XCN/USD,0.02058,0.02058,0.02049,0.02049,6,204614.94473978,0.02057,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XCN/USD,0.02058,0.02058,0.02058,0.02058,5,201825.5167,0.02058,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XCN/USD,0.02058,0.02058,0.02058,0.02058,4,176127.15714695,0.02058,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XCN/USD,0.02058,0.02058,0.02058,0.02058,3,110972.60465791,0.02058,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XCN/USD,0.02058,0.02058,0.02058,0.02058,2,90321.43769589,0.02058,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XCN/USD,0.02058,0.02058,0.02058,0.02058,1,58661.91716479,0.02058,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XCN/USD,0.02124,0.02141,0.02059,0.02059,93,6473097.24368307,0.02106,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
XCN/USD,0.02124,0.02141,0.02059,0.02059,92,6462127.84650339,0.02106,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
XCN/USD,0.02124,0.02141,0.02059,0.02059,91,6448983.02700531,0.02106,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
XCN/USD,0.02124,0.02141,0.02059,0.02062,90,6398852.9636288,0.02106,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
XCN/USD,0.02124,0.02141,0.02059,0.02066,89,6381847.29785473,0.02107,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
XCN/USD,0.02124,0.02141,0.02059,0.02068,88,6345936.13865473,0.02107,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
XCN/USD,0.02124,0.02141,0.02059,0.02074,87,6343316.11325517,0.02107,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
XCN/USD,0.02124,0.02141,0.02059,0.02075,86,6148865.72300402,0.02108,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
XCN/USD,0.02124,0.02141,0.02059,0.02059,85,6135419.47697349,0.02108,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
XCN/USD,0.02124,0.02141,0.02067,0.02067,79,5634050.41517349,0.02112,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
XCN/USD,0.02124,0.02141,0.02067,0.02078,78,5625230.8832842,0.02112,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
XCN/USD,0.02124,0.02141,0.02067,0.02078,77,5622906.0932842,0.02112,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
XCN/USD,0.02124,0.02141,0.02067,0.0207,76,5611240.40776792,0.02112,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
XCN/USD,0.02124,0.02141,0.02067,0.02079,75,5556301.51925147,0.02112,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
XCN/USD,0.02124,0.02141,0.02067,0.02067,74,5542666.7477267,0.02113,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
XCN/USD,0.02124,0.02141,0.02067,0.02067,73,5529994.84797393,0.02113,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
XCN/USD,0.02124,0.02141,0.02067,0.02084,72,5528013.55007757,0.02113,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
XCN/USD,0.02124,0.02141,0.02067,0.02067,71,5455390.43687003,0.02113,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
XCN/USD,0.02124,0.02141,0.02069,0.02071,70,5419843.63451916,0.02113,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
XCN/USD,0.02124,0.02141,0.02069,0.02071,69,5417276.00971916,0.02113,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
XCN/USD,0.02124,0.02141,0.02069,0.02069,67,5374654.45527583,0.02114,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
XCN/USD,0.02124,0.02141,0.02077,0.02077,61,5135290.43758053,0.02116,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
